kind	doc	page	words	squashed	srcBytes	outBytes	images	jbig2Images
jbig2-source	testdocs/book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf				8671536	11311156	81	81
jbig2-source	testdocs/book/Mintzberg - 1973 - The nature of managerial work.pdf				9836554	11865974	172	168
jbig2-source	testdocs/book/Noble_1977_America by design.pdf				17797276	22507486	422	422
jbig2-source	testdocs/book/Shows and Burton - 1972 - Microeconomics.pdf				670210	786729	21	21
jbig2-source	testdocs/book/_2010_New Materialisms_Duke University Press.pdf				1289707	1457256	22	22
jbig2-source	testdocs/bookSection/Gilroy - 2000 - Getting In.pdf				624919	627631	22	22
jbig2-source	testdocs/bookSection/Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf				7295301	11664298	324	324
jbig2-source	testdocs/bookSection/Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf				2727035	2795268	49	49
jbig2-source	testdocs/bookSection/Lloyd-Jones_Smith_1938_Selection and Admissions.pdf				621896	749349	24	24
jbig2-source	testdocs/bookSection/National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf				2589313	2531168	65	65
jbig2-source	testdocs/bookSection/Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf				1273601	1090193	30	28
jbig2-source	testdocs/bookSection/Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf				2079983	2392517	57	57
jbig2-source	testdocs/bookSection/_1945_Postwar Economic Policy and Planning_.pdf				11915582	11848934	150	150
jbig2-source	testdocs/document/2008_Hoagland oral history.pdf				1306662	379998	15	15
jbig2-source	testdocs/document/2008_McIntyre oral history.pdf				1590869	443878	18	18
jbig2-source	testdocs/document/2015_Gibbs oral history.pdf				3811654	926902	73	71
jbig2-source	testdocs/document/2017_Bunnell oral history, athletics.pdf				3492489	821556	71	69
jbig2-source	testdocs/document/Geiger oral history.pdf				5128595	1288312	101	99
jbig2-source	testdocs/document/Henry Morgenthau papers.pdf				2704879	2791130	199	199
jbig2-source	testdocs/document/Lyons oral history.pdf				1581769	2295108	115	113
jbig2-source	testdocs/document/Nogales oral history.pdf				764942	1131922	47	45
jbig2-source	testdocs/document/w5093.pdf				720482	1602775	64	64
jbig2-source	testdocs/journalArticle/Borges_The Lottery in Babylon.pdf				78826	190687	5	5
jbig2-source	testdocs/journalArticle/Eyal-Cohen - Why Is Small Business the Chief Business of Congress.pdf				1315852	2461433	60	58
jbig2-source	testdocs/journalArticle/Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors.pdf				1752113	4426034	58	56
jbig2-source	testdocs/journalArticle/Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review.pdf				1706675	1001592	15	14
jbig2-source	testdocs/journalArticle/Robin_Stephens_1996_Against the Grain_Social Text.pdf				2372077	2392191	33	31
