document	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	verdict	sweepInkOut	label	kind	sample
# C28 question 3, out of sample: the shape term over ALL 73 sub-bar pages, 2026-08-21.
# population = INKBAR-2026-08-19.tsv rows with verdict=all-text AND barVerdict=all-text (73).
# label/kind are the published verdicts of C26 sub-step 4 and C28 sub-steps 1-4; nothing here re-reads them.
# sample: calibration = one of the 8 pages the five constants were written against; new = never measured before.
# binary built from Tools/score-shape-term.swift at 5be15c3; --self-test 5/5; constants unchanged.
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p37	1014	1614	179	234306	0	0.0000	0.0000	0.0550	0.0000	2613	13	4	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
document/1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	p4	3024	3441	129	263421	7569	0.0287	0.0287	0.0535	0.0300	1444	19	4	532	45	1633	0.2157	0	0	0.0000	-	ok	0.0287	nothing	-	new
document/Atkinson_1939_Atkinson on firings_.pdf	p1	1935	2592	108	373330	2	0.0000	0.0000	0.0845	0.0000	1917	19	4	1	0	0	0.0000	0	0	0.0000	-	ok	0.0000	nothing	-	new
document/Atkinson_1939_Atkinson on firings_.pdf	p3	1935	2592	130	504651	19587	0.0388	0.0388	0.1231	0.0383	2582	20	4	50	27	8694	0.4439	3	8201	0.4187	337x54+1136+2083	ok	0.0388	loses	type+hand	calibration
document/Ford_1941_Speech_.pdf	p1	1935	2592	133	278430	1422	0.0051	0.0051	0.1836	0.0068	1823	17	4	80	9	502	0.3530	0	0	0.0000	-	ok	0.0051	loses	hand	new
document/Ford_1941_Speech_.pdf	p2	1935	2592	122	276946	629	0.0023	0.0023	0.1170	0.0022	1812	18	4	28	7	514	0.8172	0	0	0.0000	-	ok	0.0023	nothing	-	new
document/Ford_1941_Speech_.pdf	p3	1935	2592	116	249860	2677	0.0107	0.0107	0.0749	0.0105	1650	18	4	48	8	561	0.2096	0	0	0.0000	-	ok	0.0107	nothing	-	new
document/Ford_1941_Speech_.pdf	p4	1935	2592	116	253013	167	0.0007	0.0007	0.0623	0.0007	1642	18	4	13	0	0	0.0000	0	0	0.0000	-	ok	0.0007	nothing	-	new
document/Ford_1941_Speech_.pdf	p5	1935	2592	126	276938	612	0.0022	0.0022	0.1154	0.0025	1788	18	4	12	2	232	0.3791	0	0	0.0000	-	ok	0.0022	nothing	-	new
document/Ford_1941_Speech_.pdf	p6	1935	2592	122	168071	945	0.0056	0.0056	0.0844	0.0061	1079	18	4	15	7	836	0.8847	1	446	0.4720	134x43+1681+199	ok	0.0056	loses	type	new
