file	page	qualifying_gutters	widest_interior_quiet_frac	widthPx	heightPx	widestPx	widestSpan	otsu	peakInk	gutterSpans
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	186	0	0.0000	953	1364	0	-	145	818	-
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	279	1	0.1411	1070	1345	151	225-376	145	1294	225-376
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	1	1	0.0461	1650	1275	76	870-946	146	960	870-946
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	3	1	0.0503	1650	1275	83	773-856	148	964	773-856
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	5	1	0.0503	1650	1275	83	771-854	148	833	771-854
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	36	0	0.0192	1457	1926	28	717-745	147	451	-
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	73	1	0.0792	1275	1686	101	991-1092	145	277	991-1092
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	109	1	0.0384	1457	1934	56	677-733	148	411	677-733
Noble_1977_America by design.pdf	103	0	0.0000	921	1455	0	-	136	532	-
Noble_1977_America by design.pdf	207	0	0.0000	921	1455	0	-	135	480	-
Noble_1977_America by design.pdf	310	0	0.0000	921	1455	0	-	136	439	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	6	0	0.0000	715	950	0	-	115	948	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	12	0	0.0000	646	845	0	-	103	218	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	18	0	0.0000	744	929	0	-	137	806	-
Schumpeter_1955_Imperialism ; Social classes_World.pdf	47	0	0.0000	750	1175	0	-	153	318	-
Schumpeter_1955_Imperialism ; Social classes_World.pdf	95	0	0.0000	748	1175	0	-	153	316	-
Schumpeter_1955_Imperialism ; Social classes_World.pdf	143	0	0.0000	740	1169	0	-	159	373	-
Shows and Burton - 1972 - Microeconomics.pdf	4	0	0.0000	942	1341	0	-	142	1327	-
Shows and Burton - 1972 - Microeconomics.pdf	9	0	0.0000	992	1347	0	-	141	1333	-
Shows and Burton - 1972 - Microeconomics.pdf	13	0	0.0000	1021	1353	0	-	142	1321	-
UN-OCred.pdf	10	0	0.0022	1349	1102	3	681-684	165	564	-
UN-OCred.pdf	20	0	0.0007	1340	1102	1	682-683	178	937	-
UN-OCred.pdf	30	0	0.0037	1353	1109	5	692-697	173	932	-
Westad_2005_The Global Cold War_Cambridge University Press.pdf	1	0	0.0000	1240	1829	0	-	161	367	-
Westad_2005_The Global Cold War_Cambridge University Press.pdf	2	0	0.0021	975	1559	2	497-499	154	312	-
Westad_2005_The Global Cold War_Cambridge University Press.pdf	3	0	0.0021	975	1559	2	474-476	154	357	-
_2010_New Materialisms_Duke University Press.pdf	5	0	0.0000	1650	1271	0	-	154	417	-
_2010_New Materialisms_Duke University Press.pdf	11	0	0.0000	1650	1271	0	-	146	1233	-
_2010_New Materialisms_Duke University Press.pdf	16	0	0.0000	1102	915	0	-	155	886	-
Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf	7	0	0.0000	885	1396	0	-	153	289	-
Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf	14	0	0.0000	885	1396	0	-	153	281	-
Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf	21	0	0.0000	885	1396	0	-	153	276	-
Berger_2013_Toward a Third Industrial Divide_.pdf	6	1	0.0608	1085	1346	66	190-256	168	775	190-256
Berger_2013_Toward a Third Industrial Divide_.pdf	12	2	0.0648	1142	1346	74	239-313	161	1120	138-205,239-313
Berger_2013_Toward a Third Industrial Divide_.pdf	18	1	0.0736	1060	1346	78	156-234	165	1310	156-234
Broadhead - 1994 - Regionalism and the Upper Class.pdf	3	0	0.0000	1708	1375	0	-	166	832	-
Broadhead - 1994 - Regionalism and the Upper Class.pdf	6	0	0.0000	1708	1375	0	-	166	726	-
Broadhead - 1994 - Regionalism and the Upper Class.pdf	9	0	0.0000	1708	1375	0	-	164	430	-
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	6	0	0.0000	728	1122	0	-	161	297	-
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	12	0	0.0151	728	1122	11	105-116	161	306	-
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	18	0	0.0000	728	1122	0	-	161	332	-
Canby_1929_Comment on Several Subjects.pdf	1	2	0.1459	1275	1650	186	462-648	145	548	462-648,673-728
Canby_1929_Comment on Several Subjects.pdf	2	1	0.1208	1275	1650	154	469-623	149	275	469-623
Canby_1929_Comment on Several Subjects.pdf	3	0	0.0298	1275	1650	38	690-728	149	197	-
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	7	0	0.0000	919	1350	0	-	159	255	-
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	14	0	0.0000	954	1368	0	-	159	248	-
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	21	0	0.0000	936	1356	0	-	163	256	-
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	15	0	0.0000	918	1332	0	-	180	303	-
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	31	0	0.0000	825	1333	0	-	178	301	-
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	46	0	0.0000	839	1329	0	-	180	303	-
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	6	0	0.0000	824	1276	0	-	175	228	-
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	13	0	0.0000	794	1275	0	-	177	277	-
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	19	0	0.0000	794	1275	0	-	176	249	-
