# C28's two-sided grouping trade: the shape term's `lineMinimumMembers` and `lineGapFactor`
# relaxed, measured beside the shipped pair on the entry's own named population. 2026-09-20.
# binary built from Tools/score-shape-term.swift in this commit; --self-test ok (11 checks).
# GROUPING=4:3,3:3,2:3,4:6,2:6 — five arms; 4:3 IS the shipped pair and is the determinism
# control (lineN_g4x3 must equal lineN on every row; it does, 75 of 75).
# population = the 73 sub-bar pages of SHAPETERM-73-2026-08-21.tsv (document+page taken from
# that file, nothing re-sampled) PLUS book/1954 - Why.pdf p6 and p7, C26's two founding
# cartoons, which are picture-route and so are NOT among the 73.
# label/kind below are SHAPETERM-73's own published verdicts, joined by (document, page);
# nothing here re-reads a page. The two cartoons carry `cartoon`/`cartoon`.
# ⛔ The port check ran ARMED on every row of every arm — the two constants are DEFAULT
# ARGUMENTS of `lines(…)`, so the call the port check compares is unchanged: port agreed on
# 75 of 75, 0 disagreements, rc=0 on 23 of 23 invocations.
# ⚠️ Columns 2-43 are the tool's own 42 and are a byte-identical prefix of every earlier
# SHAPETERM-*.tsv; 44-53 are the five arms; document/label/kind are prepended/appended here.
document	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	rim1N	rim1Px	rim1Top	rim2N	rim2Px	rim2Top	rim3N	rim3Px	rim3Top	verdict	wideN	wideInkOut	stenPx	wideStenPx	shipSten	wideSten	shipBytes	wideBytes	byteDelta	shipBg	wideBg	lineN_g4x3	linePx_g4x3	lineN_g3x3	linePx_g3x3	lineN_g2x3	linePx_g2x3	lineN_g4x6	linePx_g4x6	lineN_g2x6	linePx_g2x6	label	kind
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p5	921	1382	167	103865	0	0.0000	0.0000	0.0000	0.0000	2760	11	2	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p8	921	1382	168	102197	150	0.0015	0.0015	0.0015	0.0015	2712	11	2	1	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	degraded	rule-blurred
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p10	921	1382	169	94353	151	0.0016	0.0016	0.0016	0.0016	2538	11	2	1	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	degraded	rule-blurred
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p13	921	1382	168	109426	150	0.0014	0.0014	0.0014	0.0014	2960	11	2	1	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	degraded	rule-blurred
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p23	921	1382	168	107517	149	0.0014	0.0014	0.0014	0.0014	2850	11	2	1	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	degraded	rule-blurred
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p25	921	1382	167	105513	150	0.0014	0.0014	0.0014	0.0014	2789	11	2	1	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	degraded	rule-blurred
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p28	921	1382	171	99065	163	0.0016	0.0016	0.0016	0.0007	3184	10	2	8	6	155	0.9509	0	0	0.0000	-	2	117	26x6+132+835	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	2	155	2	155	0	0	2	155	nothing	-
newspaperArticle/Gitlin_2000_How Our Crowd Got Lonely_New York Times.pdf	p1	959	1281	150	195345	4094	0.0210	0.0210	0.0210	0.0207	2414	8	3	16	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
book/UN-OCred.pdf	p7	1361	1109	186	181830	4205	0.0231	0.0231	0.0416	0.0196	3184	10	3	14	4	186	0.0442	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
magazineArticle/_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf	p1	1159	1573	163	204713	5863	0.0286	0.0286	0.0399	0.0156	6472	8	2	63	36	1089	0.1857	2	319	0.0544	113x5+459+1407	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	2	319	3	365	3	365	2	319	3	365	nothing	-
