file	page	qualifying_gutters	widest_interior_quiet_frac
Berger_2013_Toward a Third Industrial Divide_.pdf	6	1	0.0617
Berger_2013_Toward a Third Industrial Divide_.pdf	12	2	0.0639
Berger_2013_Toward a Third Industrial Divide_.pdf	18	1	0.0773
Broadhead - 1994 - Regionalism and the Upper Class.pdf	3	0	0.0
Broadhead - 1994 - Regionalism and the Upper Class.pdf	6	0	0.0
Broadhead - 1994 - Regionalism and the Upper Class.pdf	9	0	0.0
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	6	0	0.0
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	12	0	0.0137
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	18	0	0.0
Canby_1929_Comment on Several Subjects.pdf	1	2	0.1422
Canby_1929_Comment on Several Subjects.pdf	2	1	0.1127
Canby_1929_Comment on Several Subjects.pdf	3	0	0.0321
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	7	0	0.0
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	14	0	0.0
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	21	0	0.0
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	15	0	0.0
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	31	0	0.0
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	46	0	0.0
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	6	0	0.0
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	13	0	0.0
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	19	0	0.0
Gilroy - 2000 - Getting In.pdf	5	0	0.0
Gilroy - 2000 - Getting In.pdf	11	0	0.0
Gilroy - 2000 - Getting In.pdf	16	0	0.0
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	1	0	0.0
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	3	2	0.0604
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	4	2	0.0698
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	81	0	0.0
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	162	0	0.0
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	243	0	0.0
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	3	1	0.0436
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	7	0	0.0251
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	11	0	0.0257
Kazin_1955_The Writer and the .pdf	4	0	0.025
Kazin_1955_The Writer and the .pdf	8	0	0.0039
Kazin_1955_The Writer and the .pdf	12	0	0.0031
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	10	0	0.0
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	20	0	0.0
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	30	0	0.0
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	7	0	0.0216
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	14	0	0.0162
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	21	0	0.0211
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	5	0	0.0
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	11	0	0.0
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	17	0	0.0
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	2	0	0.0176
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	5	0	0.0212
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	7	0	0.0279
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	5	0	0.0
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	11	0	0.0024
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	17	0	0.0
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	7	0	0.0
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	15	0	0.0
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	23	0	0.0
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	6	0	0.0
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	12	0	0.0
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	18	0	0.0
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	16	0	0.0
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	32	0	0.0
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	48	0	0.0128
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	9	0	0.0
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	18	0	0.0
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	27	0	0.0
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	3	1	0.0667
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	7	0	0.0329
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	11	1	0.0392
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	10	0	0.0
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	20	0	0.0
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	30	0	0.0066
Schaar, handwritten notes.pdf	2	0	0.0
Schaar, handwritten notes.pdf	5	0	0.0
Schaar, handwritten notes.pdf	8	0	0.0
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	14	0	0.0
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	28	0	0.0
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	42	0	0.0
_1945_Postwar Economic Policy and Planning_.pdf	37	0	0.0
_1945_Postwar Economic Policy and Planning_.pdf	75	0	0.0
_1945_Postwar Economic Policy and Planning_.pdf	112	0	0.0
full chapter.pdf	8	1	0.1184
full chapter.pdf	16	0	0.0039
full chapter.pdf	24	1	0.0706
(F) Dickens.pdf	2	0	0.0
(F) Dickens.pdf	4	0	0.0
(F) Dickens.pdf	6	0	0.0
1881 - Harry Wilcox.pdf	2	0	0.0
1881 - Harry Wilcox.pdf	4	0	0.0
1881 - Harry Wilcox.pdf	6	0	0.0
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	2	0	0.0
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	4	0	0.0
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	6	0	0.0
2008_Hoagland oral history.pdf	3	0	0.0
