# C28 question 4 at the `textRegionMask` seam: what it costs, in published bytes, to let the
# shape term's accepted line groups into the 1-bit stencil. 2026-08-22.
#
# 26 pages in two arms. `arm=subbar`: the 16 of the 73 sub-bar pages where `lineN >= 1` — the
# exact population the layering-seam wiring (`inkOut < 0.045 AND lineN == 0`) refuses, so the two
# prices are over the same pages. `arm=picture`: the ten picture pages of
# SHAPETERM-PICTURES-2026-08-21.tsv, where the term's false positives are.
#
# Instrument: `WIDENBYTES=1 score-shape-term <pdf> <page>`, one page per invocation, from one
# binary built at this commit. Two `Flattener.mrcLayers` calls per page differing in ONE property,
# the box list: shipped, and shipped + one synthetic box per accepted line group. Nothing in
# Sources/ was changed for it — `mrcLayers` reads `boxes` only to refuse an empty list and to
# build `textRegionMask`, so a synthetic box is exactly the word Vision would have returned.
# Bytes are stencil (jbig2) + background + foreground at the default Photo detail (Balanced).
#
# Control: `shipBytes` is byte-identical to SHAPETERM-BYTES-2026-08-21.tsv's `layered` column on
# 16 of 16 rows — a different tool (`score-text-route`) measuring the same thing.
# 31 of the 44 columns are score-shape-term's pre-existing ones: 806 shared cells over 26 of 26 rows
# reproduce SHAPETERM-73, -PICTURES, -RIM and -PICTURES-RIM with 0 differences (22 columns against the
# first two, the 9 rim columns against the last two, which are the only files that hold them). Only
# SHAPETERM-PICTURES-RIM is a column *prefix* of this file — the 73 and RIM files carry a different
# second column and four trailing label columns.
document	arm	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	rim1N	rim1Px	rim1Top	rim2N	rim2Px	rim2Top	rim3N	rim3Px	rim3Top	verdict	wideN	wideInkOut	stenPx	wideStenPx	shipSten	wideSten	shipBytes	wideBytes	byteDelta	shipBg	wideBg
magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	subbar	p3	919	1357	147	186657	1624	0.0087	0.0087	0.0087	0.0064	3627	10	3	51	40	1586	0.9766	6	1574	0.9692	109x12+492+564	6	1399	108x11+493+565	3	912	101x10+500+566	3	858	101x9+500+567	ok	6	0.0001	257446	259365	33849	34029	39354	39347	-7	114x169	114x169
magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	subbar	p5	915	1369	145	189074	1540	0.0081	0.0081	0.0081	0.0054	3311	10	3	50	38	1491	0.9682	4	1491	0.9682	260x12+335+709	3	1167	259x11+335+709	3	1005	259x10+335+709	2	478	126x9+468+709	ok	4	0.0000	263661	265381	35700	35857	40549	40537	-12	114x171	114x171
magazineArticle/_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf	subbar	p1	1159	1573	163	204713	5863	0.0286	0.0286	0.0399	0.0156	6472	8	2	63	36	1089	0.1857	2	319	0.0544	113x5+459+1407	0	0	-	0	0	-	0	0	-	ok	2	0.0270	214237	214596	37552	37575	44991	44989	-2	144x196	144x196
newspaperArticle/Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK).pdf	subbar	p1	1997	3219	150	1155973	2708	0.0023	0.0023	0.0024	0.0012	5007	21	6	38	18	2307	0.8519	1	1780	0.6573	250x19+710+1489	1	1487	250x19+710+1489	0	0	-	0	0	-	ok	1	0.0008	1551979	1553949	111354	111457	137185	137237	+52	249x402	249x402
book/1954 - Why.pdf	picture	p4	1224	946	139	110844	5983	0.0540	0.0540	0.0757	0.0540	2468	9	2	42	12	444	0.0742	1	59	0.0099	27x17+1121+685	1	59	27x17+1121+685	1	59	27x17+1121+685	1	59	27x17+1121+685	ok	1	0.0524	110477	110716	19699	19777	67976	68106	+130	612x473	612x473
book/1954 - Why.pdf	picture	p6	1224	946	140	98348	4851	0.0493	0.0493	0.0768	0.0493	2013	9	2	20	4	357	0.0736	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	0	0.0493	98236	98236	17544	17544	62397	62397	+0	612x473	612x473
book/1954 - Why.pdf	picture	p7	1224	946	139	107273	7080	0.0660	0.0660	0.0908	0.0654	2255	9	2	40	12	761	0.1075	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	0	0.0660	106347	106347	18880	18880	65412	65412	+0	612x473	612x473
book/1954 - Why.pdf	picture	p10	1224	1584	216	1390158	1353270	0.9735	0.9735	0.9946	0.9888	7	72	14	1	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	0	0.9735	7479	7479	485	485	31577	31577	+0	612x792	612x792
document/1881 - Harry Wilcox.pdf	picture	p2	3642	2449	121	272237	251186	0.9227	0.9227	0.9227	0.9203	288	5	3	1594	549	10078	0.0401	17	1694	0.0067	60x41+2771+1015	17	1692	60x41+2771+1015	17	1691	60x41+2771+1015	17	1690	60x41+2771+1015	ok	17	0.8937	28353	35838	4178	5590	346608	348686	+2078	1821x1224	1821x1224
document/1881 - Harry Wilcox.pdf	picture	p6	3807	2441	127	373358	364895	0.9773	0.9773	0.9773	0.9765	70	7	3	2082	582	10181	0.0279	11	1594	0.0044	78x33+1400+734	11	1594	78x33+1400+734	11	1594	78x33+1400+734	11	1594	78x33+1400+734	ok	11	0.9649	10067	16615	1523	2470	344246	345996	+1750	1903x1220	1903x1220
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	picture	p2	3872	5184	107	2529134	2389079	0.9446	0.9446	0.9562	0.9448	85	48	12	8789	59	21939	0.0092	2	10438	0.0044	444x154+366+3459	2	10438	444x154+366+3459	2	10438	444x154+366+3459	2	10438	444x154+366+3459	ok	2	0.9207	110837	110837	4692	4692	559596	559596	+0	1936x2592	1936x2592
book/Ibson_2006_Picturing men.pdf	picture	p61	2100	3000	162	2369312	2254516	0.9515	0.9515	0.9686	0.9631	393	18	4	1521	22	1411	0.0006	1	477	0.0002	74x29+1396+771	1	477	74x29+1396+771	1	477	74x29+1396+771	1	477	74x29+1396+771	ok	1	0.9513	75092	75092	7468	7468	161240	161240	+0	1050x1500	1050x1500
book/Ibson_2006_Picturing men.pdf	picture	p122	1008	1440	172	361769	359906	0.9949	0.9949	0.9951	0.9947	68	9	2	4170	203	3836	0.0107	12	2032	0.0056	202x48+84+873	12	2032	202x48+84+873	12	2032	202x48+84+873	12	2032	202x48+84+873	ok	12	0.9737	2022	2528	648	796	42384	43120	+736	504x720	504x720
book/Ibson_2006_Picturing men.pdf	picture	p162	1008	1440	160	603931	602580	0.9978	0.9978	0.9978	0.9978	54	9	2	707	17	321	0.0005	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	0	0.9978	1615	1615	558	558	43247	43247	+0	504x720	504x720
