# C27 (b): the byte price of keeping colour, measured 2026-08-26 by Tools/score-mrc.swift.
# Three arms over ONE page set, one binary, `MRC_PAGES` per document:
#   ship-*        no MRC_COLOUR  — what the app publishes today
#   force-colour  MRC_COLOUR=colour
#   force-grey    MRC_COLOUR=grey
# `wantC` is `Flattener.shouldKeepColour`'s own answer for the page, so the arm that AGREES
# with it is a no-op and its row must reproduce the ship-* row exactly: it does on 30 of 30.
# Population: the 29 picture-route rows of C27-MASKTERMS-2026-08-26.tsv, plus `1954 - Why` p2
# (the founding colour-KEPT page) and the three 1-bit pages of the entry's ten. 33 pages
# requested in 20 documents; 30 have rows. The three without are `2013 - Silicon Valley
# Program Transcript` p13/p26 and `HarpersMagazine-1938-05-0019577` p4, which are 1-bit today:
# a page off the picture route has no colour decision to price, which is C27 (c).
# Photo detail Balanced (background /2, foreground /4) throughout.
# Reproduce: MRC_PAGES=<pages> [MRC_COLOUR=colour|grey] score-mrc <one document>, per row of
#   the manifest in BUGS.md C27 "#### The byte price, MEASURED".
file	page	px	dpi	route	boxes	inkOut	nowKB	maskKB	bgKB	fgKB	mrcKB	bgF	fgF	ratio	kept	mrcPSNR	nowPSNR	note	arm	wantC	pubKB
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	9	1609x2206	200.1	colour	68	0.5772	562.3	33.2	115.3	29.1	177.6	2.0	4.0	3.17x	mrc	27.89	40.29	-	force-colour	no	177.6
Ford_1941_Speech_.pdf	3	1935x2592	72.0	colour	32	0.0166	770.1	28.3	181.7	43.4	253.4	2.0	4.0	3.04x	mrc	30.00	41.18	-	force-colour	no	253.4
Ford_1941_Speech_.pdf	5	1935x2592	72.0	colour	32	0.0022	787.0	30.0	11.4	4.0	45.4	8.0	16.1	17.35x	mrc	27.46	41.09	-	force-colour	no	45.4
Glazer_2002_Higher Ed_New Republic.pdf	1	1590x2177	200.1	colour	190	0.0551	877.8	62.6	160.2	57.0	279.8	2.0	4.0	3.14x	mrc	22.69	39.24	-	force-colour	no	279.8
Kelly_2014_Orders of Magnitude_TLS.pdf	3	2092x2664	186.8	colour	191	0.5557	1402.6	47.2	199.8	59.9	306.9	2.0	4.0	4.57x	mrc	23.89	38.59	-	force-colour	yes	306.9
Merriam_1920_Daughter of Pan_The Montanan (The Frontier).pdf	1	1935x2592	72.0	colour	90	0.1797	904.6	38.6	199.0	29.1	266.7	2.0	4.0	3.39x	mrc	29.32	38.86	-	force-colour	yes	266.7
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	9	2076x2650	390.0	colour	47	0.0282	769.0	46.2	15.5	4.3	65.9	8.0	16.1	11.66x	mrc	25.62	42.57	-	force-colour	yes	65.9
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	17	1949x2592	370.0	colour	45	0.0000	731.4	44.6	12.3	4.0	60.9	8.0	16.1	12.01x	mrc	25.55	42.01	-	force-colour	yes	60.9
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	101	2641x3418	310.7	colour	26	0.6589	890.3	25.9	133.7	74.9	234.5	2.0	4.0	3.80x	mrc	26.85	42.46	-	force-colour	no	234.5
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	2	969x1419	150.0	colour	29	0.0040	233.8	13.8	50.0	13.6	77.5	2.0	4.0	3.02x	mrc	30.95	37.13	-	force-colour	no	77.5
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	3	992x1441	150.1	colour	33	0.0121	260.1	15.9	4.4	2.2	22.5	8.0	16.0	11.57x	mrc	28.30	37.07	-	force-colour	no	22.5
_1939_Former students to Board re Merriam_.pdf	7	1935x2592	72.0	colour	33	0.0001	800.2	32.1	13.4	3.3	48.7	8.0	16.1	16.42x	mrc	27.65	40.38	-	force-colour	yes	48.7
_1939_Former students to Board re Merriam_.pdf	13	1935x2592	72.0	colour	36	0.0156	762.3	25.8	171.4	32.5	229.7	2.0	4.0	3.32x	mrc	30.12	40.75	-	force-colour	yes	229.7
_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf	1	1159x1573	140.0	colour	224	0.0257	528.4	36.6	72.9	26.0	135.5	2.0	4.0	3.90x	mrc	23.92	35.68	-	force-colour	yes	135.5
_1973_Committee Against Racism_.pdf	2	1276x1651	150.1	colour	81	0.0000	790.6	43.8	5.2	2.9	52.0	8.0	16.2	15.21x	mrc	19.79	37.22	-	force-colour	no	52.0
_1973_Committee Against Racism_.pdf	3	1275x1650	150.0	colour	77	0.0022	817.8	46.7	78.3	39.8	164.8	2.0	4.0	4.96x	mrc	19.80	36.72	-	force-colour	no	164.8
1881 - Harry Wilcox.pdf	4	4000x2626	317.5	grey	67	0.5618	1130.8	36.2	346.4	44.2	426.8	2.0	4.0	2.65x	mrc	33.96	58.35	-	force-grey	yes	426.8
1881 - Harry Wilcox.pdf	7	3737x2482	300.1	grey	28	0.5722	1023.8	26.6	280.4	41.0	348.0	2.0	4.0	2.94x	mrc	33.18	60.84	-	force-grey	yes	348.0
1954 - Why.pdf	2	1224x1584	144.0	grey	9	0.2280	212.4	5.9	47.3	9.4	62.5	2.0	4.0	3.40x	mrc	32.63	42.71	-	force-grey	yes	62.5
