document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor
Mintzberg - 1973 - The nature of managerial work	p80	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	1791396	2	1-bit	0	116	0	1164	1164	21	1164	0.00000	0.25000
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press	p5	90	0.255	0.000	0.000	0.0000	0.00000	0.00000	2245672	2	1-bit	0	0	0	1208	1208	0	1208	0.00000	0.25000
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press	p9	90	0.225	0.000	0.000	0.0000	0.00000	0.00000	2238236	2	1-bit	0	0	0	1204	1204	0	1204	0.00000	0.25000
Morgan_1975_American Slavery, American Freedom_Norton	p2	127	0.086	0.000	0.001	0.0000	0.00000	0.00000	1141344	4	1-bit	0	0	0	34	34	0	34	0.00061	0.25000
Morgan_1975_American Slavery, American Freedom_Norton	p3	127	0.086	0.000	0.001	0.0000	0.00000	0.00000	1141344	4	1-bit	0	0	0	28	28	0	28	0.00061	0.25000
Mudge_2018_Leftism Reinvented_Harvard University Press	p125	90	0.095	0.000	0.000	0.0000	0.00000	0.00000	1070400	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Mudge_2018_Leftism Reinvented_Harvard University Press	p249	128	0.097	0.003	0.000	0.0000	0.00000	0.00000	1085950	2	1-bit	0	9304	0	22	22	10	22	0.00000	0.25000
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press	p3	90	0.103	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	168	168	0	168	0.00000	0.25000
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press	p5	90	0.105	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	106	106	0	106	0.00000	0.25000
New York Stock Exchange_1956_Stock ownership plans for employees	p49	148	0.049	0.017	0.000	0.0000	0.00000	0.00000	1056708	1	1-bit	16	22211	2	13	13	10	13	0.00000	0.25000
New York Stock Exchange_1956_Stock ownership plans for employees	p98	150	0.057	0.022	0.000	0.0011	0.00000	0.00000	1055814	1	1-bit	11	31050	2	13	13	11	27	0.00000	0.25000
Noble_1977_America by design	p139	128	0.205	0.002	0.000	0.0000	0.00000	0.00000	1026844	3	1-bit	0	7079	0	27	27	18	27	0.00000	0.25000
Noble_1977_America by design	p277	128	0.200	0.002	0.000	0.0000	0.00000	0.00000	1026844	3	1-bit	0	6771	0	28	28	19	28	0.00000	0.25000
Riesman - 1954 - Individualism reconsidered, and other essays	p9	135	0.142	0.488	0.080	0.0974	0.00000	0.00000	468438	3	picture	24651	32146	352	212	352	374	374	0.01678	0.25000
Riesman - 1954 - Individualism reconsidered, and other essays	p17	103	0.108	0.277	0.091	0.0750	0.00000	0.00000	967302	2	picture	3079	63237	23	19	23	68	68	0.03888	0.25000
Schumpeter_1955_Imperialism ; Social classes_World	p64	128	0.088	0.007	0.000	0.0000	0.00000	0.00000	832104	3	1-bit	0	14443	0	24	24	24	24	0.00000	0.25000
Schumpeter_1955_Imperialism ; Social classes_World	p128	128	0.099	0.008	0.000	0.0000	0.00000	0.00000	817503	3	1-bit	0	14792	0	24	24	24	24	0.00000	0.25000
Shows and Burton - 1972 - Microeconomics	p7	90	0.182	0.000	0.000	0.0000	0.00000	0.00000	1107108	2	1-bit	0	2675	0	1206	1206	7	1206	0.00000	0.25000
Shows and Burton - 1972 - Microeconomics	p13	128	0.177	0.006	0.000	0.0000	0.00000	0.00000	1058496	2	1-bit	0	15192	0	1184	1184	10	1184	0.00000	0.25000
UN-OCred	p14	168	0.128	0.085	0.000	0.1385	0.00057	0.00046	1149540	1	1-bit	110493	74349	441	966	966	497	966	0.00000	0.25000
UN-OCred	p27	176	0.128	0.078	0.000	0.0966	0.00039	0.00104	1138914	1	1-bit	29300	63362	127	789	789	204	826	0.00000	0.25000
Westad_2005_The Global Cold War_Cambridge University Press	p2	127	0.080	0.000	0.001	0.0000	0.00000	0.00000	1163492	4	1-bit	0	0	0	22	22	0	22	0.00059	0.25000
Westad_2005_The Global Cold War_Cambridge University Press	p3	127	0.084	0.000	0.001	0.0000	0.00000	0.00000	1163492	4	1-bit	0	0	0	22	22	0	22	0.00059	0.25000
_2010_New Materialisms_Duke University Press	p8	141	0.093	0.023	0.000	0.0000	0.00000	0.00000	1564650	2	1-bit	118	62539	2	230	230	134	243	0.00000	0.25000
_2010_New Materialisms_Duke University Press	p15	139	0.085	0.012	0.000	0.0000	0.00000	0.00000	763364	2	1-bit	17	20773	0	157	157	24	185	0.00000	0.25000
Allen_2011_The Origins of Political Philosophy_Oxford University Press	p10	135	0.121	0.012	0.000	0.0002	0.00000	0.00000	949048	2	1-bit	478	27898	5	25	25	23	26	0.00000	0.25000
Allen_2011_The Origins of Political Philosophy_Oxford University Press	p20	135	0.114	0.011	0.000	0.0000	0.00000	0.00000	949048	2	1-bit	45	25304	6	24	24	24	25	0.00000	0.25000
Berger_2013_Toward a Third Industrial Divide_	p9	128	0.084	0.004	0.000	0.0000	0.00000	0.00000	1103792	2	1-bit	0	11399	0	22	22	13	22	0.00000	0.25000
Berger_2013_Toward a Third Industrial Divide_	p17	128	0.055	0.004	0.000	0.0000	0.00000	0.00000	1121456	2	1-bit	6	11498	0	21	21	16	22	0.00000	0.25000
Broadhead - 1994 - Regionalism and the Upper Class	p5	165	0.159	0.156	0.000	0.1884	0.02959	0.01089	3202364	1	picture	206347	306068	1606	90	1606	1606	1606	0.00000	0.25000
Broadhead - 1994 - Regionalism and the Upper Class	p9	163	0.147	0.148	0.000	0.2081	0.03360	0.01081	3202364	1	picture	261439	305490	1606	73	1606	1606	1606	0.00000	0.25000
Canby_1915_Current Literature and the Colleges_Harper & Brothers	p9	155	0.094	0.016	0.000	0.0196	0.00000	0.00000	625534	2	1-bit	782	10417	4	24	24	16	26	0.00000	0.25000
Canby_1915_Current Literature and the Colleges_Harper & Brothers	p17	155	0.094	0.018	0.000	0.0202	0.00000	0.00000	627154	2	1-bit	501	13981	0	24	24	20	25	0.00000	0.25000
Canby_1929_Comment on Several Subjects	p2	139	0.008	0.002	0.000	0.0000	0.00000	0.00000	1767957	2	1-bit	0	5013	0	349	349	64	353	0.00000	0.25000
Canby_1929_Comment on Several Subjects	p3	137	0.053	0.010	0.000	0.0000	0.00000	0.00000	1618074	2	1-bit	2	24106	0	111	111	133	133	0.00000	0.25000
Falasca-Zamponi_2004_The »Culture« of Personality	p10	161	0.087	0.042	0.000	0.0019	0.00000	0.00000	943272	1	1-bit	99	51098	3	17	17	17	23	0.00000	0.25000
Falasca-Zamponi_2004_The »Culture« of Personality	p20	90	0.070	0.000	0.000	0.0000	0.00000	0.00000	959784	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Findlay_1992_Stanford Industrial Park_University of California Press	p21	166	0.259	0.080	0.000	0.0517	0.00000	0.00000	1007678	1	picture	10938	29329	50	441	441	444	444	0.00000	0.25000
Findlay_1992_Stanford Industrial Park_University of California Press	p42	178	0.099	0.052	0.000	0.1284	0.00000	0.00000	936298	1	1-bit	43	41305	5	22	22	17	23	0.00000	0.25000
Geiger et al_2018_American higher education in the postwar era, 1945-1970	p9	164	0.090	0.054	0.000	0.0577	0.00000	0.00000	613056	3	1-bit	300	42542	8	18	18	19	19	0.00000	0.25000
Geiger et al_2018_American higher education in the postwar era, 1945-1970	p18	154	0.095	0.057	0.000	0.0150	0.00000	0.00000	633249	3	1-bit	2967	48428	13	18	18	22	22	0.00000	0.25000
Gilroy - 2000 - Getting In	p8	90	0.085	0.000	0.000	0.0000	0.00000	0.00000	879648	2	1-bit	0	0	0	42	42	0	42	0.00000	0.25000
Gilroy - 2000 - Getting In	p15	90	0.103	0.000	0.000	0.0000	0.00000	0.00000	812058	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America	p3	90	0.069	0.000	0.000	0.0000	0.00000	0.00000	2386006	2	1-bit	0	0	0	1203	1203	0	1203	0.00000	0.25000
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America	p5	90	0.068	0.000	0.000	0.0000	0.00000	0.00000	2260620	2	1-bit	0	104	0	1215	1215	26	1215	0.00000	0.25000
Hobsbawm and Ranger - 1992 - The Invention of tradition	p109	128	0.129	0.007	0.000	0.0000	0.00000	0.00000	634172	2	1-bit	0	11401	0	20	20	8	20	0.00000	0.25000
Hobsbawm and Ranger - 1992 - The Invention of tradition	p217	90	0.117	0.000	0.000	0.0000	0.00000	0.00000	634172	2	1-bit	0	0	0	20	20	0	20	0.00000	0.25000
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press	p6	128	0.073	0.004	0.000	0.0000	0.00000	0.00000	905113	2	1-bit	0	9280	0	50	50	15	50	0.00000	0.25000
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press	p11	90	0.104	0.000	0.000	0.0000	0.00000	0.00000	1843968	2	1-bit	0	6844	0	1176	1176	65	1176	0.00000	0.25000
Kazin_1955_The Writer and the 	p6	145	0.090	0.031	0.000	0.0006	0.00000	0.00000	405440	1	1-bit	73	16361	1	17	17	11	19	0.00000	0.25000
