document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor
Geiger oral history	p67	90	0.021	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	29	29	0	29	0.00000	0.25000
Henry Morgenthau papers	p68	90	0.019	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	25	25	0	25	0.00000	0.25000
Henry Morgenthau papers	p135	90	0.013	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	26	26	0	26	0.00000	0.25000
Herbert Marks papers	p6	207	0.044	0.074	0.000	0.0130	0.00000	0.00000	2865888	1	1-bit	452	37219	7	47	47	15	55	0.00000	0.25000
Herbert Marks papers	p11	213	0.024	0.990	0.000	0.0062	0.00000	0.00000	2865888	1	picture	278	19875	9	33	33	16	33	0.00000	0.25000
Intellectual History Newsletter -- Forum on Menand	p16	144	0.107	0.035	0.000	0.0000	0.00000	0.00000	1088061	1	1-bit	4	52225	0	21	21	15	23	0.00000	0.25000
Intellectual History Newsletter -- Forum on Menand	p31	142	0.113	0.029	0.000	0.0000	0.00000	0.00000	1253200	1	1-bit	0	45589	0	23	23	17	24	0.00000	0.25000
Lyons oral history	p39	90	0.021	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
Lyons oral history	p77	90	0.022	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit	0	0	0	20	20	0	20	0.00000	0.25000
Nogales oral history	p16	90	0.023	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
Nogales oral history	p31	90	0.022	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
October_2,_1960_(Page_24_of_25	p1	141	0.197	0.262	0.000	0.0119	0.00015	0.00007	1754753	2	picture	38932	180514	135	403	403	327	610	0.00000	0.25000
RIESMAN_1942_American Law Institute Proceedings_	p4	156	0.079	0.025	0.000	0.0001	0.00000	0.00000	1654830	4	1-bit	64	34359	9	464	464	105	464	0.00000	0.25000
RIESMAN_1942_American Law Institute Proceedings_	p7	159	0.071	0.024	0.000	0.0081	0.02939	0.00662	1627227	4	1-bit	12665	34651	1449	1449	1449	1449	1449	0.00000	0.25000
Riesman_1964_From inner-directed to other- directed_	p7	90	0.056	0.000	0.000	0.0000	0.00000	0.00000	743280	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Riesman_1964_From inner-directed to other- directed_	p13	90	0.135	0.000	0.000	0.0000	0.00000	0.00000	739700	2	1-bit	0	0	0	23	23	0	23	0.00000	0.25000
Riesman_1964_The New Education_	p5	148	0.140	0.051	0.000	0.0689	0.00000	0.00000	676200	2	1-bit	585	48730	4	18	18	20	21	0.00000	0.25000
Riesman_1964_The New Education_	p9	90	0.109	0.000	0.000	0.0000	0.00000	0.00000	605430	2	1-bit	0	0	0	18	18	0	18	0.00000	0.25000
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_	p11	90	0.151	0.000	0.000	0.0000	0.00000	0.00000	584361	2	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_	p21	146	0.132	0.044	0.000	0.0745	0.00000	0.00000	589680	2	1-bit	585	39434	3	21	21	22	39	0.00000	0.25000
Senate, Democratic Leadership	p10	142	0.053	0.012	0.002	0.0002	0.00000	0.00000	2139904	1	1-bit	462	35044	33	25	33	36	36	0.00297	0.25000
Senate, Democratic Leadership	p19	142	0.043	0.010	0.002	0.0002	0.00000	0.00000	2139904	1	1-bit	462	26842	33	25	33	36	36	0.00297	0.25000
Stanford_1891_Jane Stanford opening day speech (undelivered)	p2	182	0.049	0.152	0.041	0.0246	0.00000	0.00000	1055307	1	picture	2976	23734	15	15	15	19	27	0.00052	0.25000
Stanford_1891_Jane Stanford opening day speech (undelivered)	p3	179	0.056	0.146	0.042	0.0320	0.00000	0.00000	1094548	1	picture	6888	30474	63	74	74	78	78	0.00784	0.25000
Stiglitz1975(onPasinetti1974)	p2	90	0.097	0.000	0.000	0.0000	0.00000	0.00000	1234592	4	1-bit	0	0	0	20	20	0	20	0.00000	0.25000
Stiglitz1975(onPasinetti1974)	p3	90	0.100	0.000	0.000	0.0000	0.00000	0.00000	1234592	4	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
_1939_Former students to Board re Merriam_	p7	137	0.079	0.353	0.073	0.1771	0.00201	0.00833	3844260	1	picture	1008645	165303	875	64	875	1376	1376	0.02397	0.25000
_1939_Former students to Board re Merriam_	p13	114	0.057	0.122	0.062	0.1705	0.21864	0.12637	3844260	1	picture	578089	124308	566	37	566	619	690	0.03423	0.25000
_1953_99 Cong_ 2	p11	90	0.125	0.000	0.000	0.0000	0.00000	0.00000	1411260	3	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
_1953_99 Cong_ 2	p21	90	0.122	0.000	0.000	0.0000	0.00000	0.00000	1411260	3	1-bit	0	0	0	13	13	0	13	0.00000	0.25000
_1953_99 Cong_	p11	90	0.117	0.000	0.000	0.0000	0.00000	0.00000	1443055	3	1-bit	0	0	0	25	25	0	25	0.00000	0.25000
_1953_99 Cong_	p22	90	0.139	0.000	0.000	0.0000	0.00000	0.00000	1443055	3	1-bit	0	0	0	25	25	0	25	0.00000	0.25000
_1953_Conspicuous Production_	p2	148	0.113	0.040	0.000	0.0274	0.00000	0.00000	2237760	2	1-bit	2558	131840	9	85	85	39	85	0.00000	0.25000
_1953_Conspicuous Production_	p3	151	0.122	0.048	0.000	0.0255	0.00000	0.00000	2066477	2	1-bit	1040	139063	3	81	81	42	83	0.00000	0.25000
_1960_Organization and operation of the Small Business Administration_	p25	90	0.108	0.000	0.000	0.0000	0.00000	0.00000	906568	3	1-bit	0	0	0	34	34	0	34	0.00000	0.25000
_1960_Organization and operation of the Small Business Administration_	p49	90	0.096	0.000	0.000	0.0000	0.00000	0.00000	906568	3	1-bit	0	0	0	251	251	0	251	0.00000	0.25000
_1973_Committee Against Racism_	p2	149	0.167	0.066	0.001	0.0000	0.00000	0.00000	1615510	1	picture	70	155501	9	17	17	18	18	0.00197	0.25000
_1973_Committee Against Racism_	p3	151	0.158	0.064	0.002	0.0000	0.00000	0.00000	1612948	1	picture	56	129682	12	17	17	18	18	0.00330	0.25000
_1979_Ideology of American Neo-Conservatism_	p6	128	0.134	0.003	0.000	0.0000	0.00000	0.00000	921360	3	1-bit	0	7338	0	32	32	13	32	0.00000	0.25000
_1979_Ideology of American Neo-Conservatism_	p11	128	0.134	0.006	0.000	0.0000	0.00000	0.00000	989120	3	1-bit	5	16041	0	32	32	19	32	0.00000	0.25000
ppf_description	p2	90	0.054	0.000	0.000	0.0000	0.00000	0.00000	3070281	1	1-bit	0	0	0	93	93	0	93	0.00000	0.25000
ppf_description	p4	90	0.034	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	26	26	0	26	0.00000	0.25000
w5093	p22	135	0.026	0.003	0.000	0.0000	0.00000	0.00000	1606080	2	1-bit	2	8523	0	48	48	48	48	0.00000	0.25000
w5093	p43	128	0.006	0.000	0.000	0.0000	0.00000	0.00000	1606080	2	1-bit	0	1635	0	22	22	22	22	0.00000	0.25000
1935_Title Page	p2	128	0.006	0.000	0.000	0.0000	0.00000	0.00000	1622880	2	1-bit	0	1518	0	24	24	24	24	0.00000	0.25000
1935_Title Page	p3	186	0.000	0.000	0.000	0.0000	0.00000	0.00000	1622880	2	1-bit	0	0	0	0	0	0	0	0.00000	0.25000
1944_Options picking up	p2	151	0.254	0.307	0.007	0.0415	0.00156	0.00043	1522638	1	picture	275033	116255	678	1446	1446	679	1446	0.00029	0.25000
1944_Options picking up	p3	90	0.006	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	18	18	0	18	0.00000	0.25000
Albanese_1997_Senate Will Examine Stock Option Bill	p2	162	0.128	0.077	0.063	0.0800	0.00046	0.00025	714546	2	picture	20319	53061	126	933	933	364	933	0.06853	0.25000
Albanese_1997_Senate Will Examine Stock Option Bill	p3	149	0.013	0.005	0.000	0.0009	0.00000	0.00000	659736	1	1-bit	0	6443	0	16	16	15	18	0.00000	0.25000
Baker_2000_The Supply-Side Effect of a Stock Market Crash	p5	129	0.089	0.000	0.000	0.0000	0.00000	0.00000	1333469	4	1-bit	0	9504	0	29	29	18	29	0.00000	0.25000
Baker_2000_The Supply-Side Effect of a Stock Market Crash	p9	129	0.083	0.000	0.000	0.0000	0.00000	0.00000	1333469	4	1-bit	0	8892	0	29	29	19	29	0.00000	0.25000
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	p19	136	0.064	0.012	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	26724	0	24	24	21	24	0.00000	0.25000
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	p37	136	0.056	0.010	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	23475	0	24	24	18	24	0.00000	0.25000
Borges_The Lottery in Babylon	p2	90	0.075	0.002	0.000	0.0000	0.00000	0.00000	1665475	2	1-bit	0	12087	0	20	20	16	20	0.00000	0.25000
Borges_The Lottery in Babylon	p4	90	0.073	0.003	0.000	0.0000	0.00000	0.00000	1665475	2	1-bit	0	12400	0	20	20	15	21	0.00000	0.25000
Burke - The Expansion of American Higher Education	p9	128	0.068	0.001	0.000	0.0000	0.00000	0.00000	738135	4	1-bit	0	3178	0	19	19	13	19	0.00000	0.25000
Burke - The Expansion of American Higher Education	p17	128	0.057	0.001	0.000	0.0000	0.00000	0.00000	723144	4	1-bit	0	3553	0	19	19	11	19	0.00000	0.25000
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review	p7	129	0.119	0.000	0.000	0.0000	0.00000	0.00000	1113165	4	1-bit	0	13335	0	21	21	15	21	0.00000	0.25000
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review	p13	129	0.123	0.000	0.000	0.0000	0.00000	0.00000	1113165	4	1-bit	0	14133	0	21	21	15	21	0.00000	0.25000
Crystal_2000_Option grants leave CEOs with sinking feeling	p1	90	0.122	0.000	0.000	0.0000	0.00000	0.00000	2775380	2	1-bit	0	0	0	195	195	0	195	0.00000	0.25000
Donahue - 2001 - Time to Get Serious About Talent Management	p2	135	0.112	0.011	0.000	0.0000	0.00000	0.00000	1439847	2	1-bit	133	36255	99	1369	1369	746	1369	0.00000	0.25000
Donahue - 2001 - Time to Get Serious About Talent Management	p3	136	0.011	0.002	0.000	0.0000	0.00000	0.00000	1665475	2	1-bit	0	4834	0	24	24	18	24	0.00000	0.25000
Eyal-Cohen - Why Is Small Business the Chief Business of Congress	p20	135	0.076	0.007	0.000	0.0000	0.00000	0.00000	1216908	2	1-bit	0	22644	0	21	21	21	21	0.00000	0.25000
Eyal-Cohen - Why Is Small Business the Chief Business of Congress	p40	135	0.050	0.005	0.000	0.0000	0.00000	0.00000	1216908	2	1-bit	0	14840	0	21	21	18	21	0.00000	0.25000
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors	p20	129	0.072	0.000	0.000	0.0000	0.00000	0.00000	1131931	4	1-bit	0	8923	0	23	23	16	23	0.00000	0.25000
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors	p39	129	0.075	0.000	0.000	0.0000	0.00000	0.00000	1131931	4	1-bit	0	8296	0	23	23	16	23	0.00000	0.25000
Har - THE NECKLACE OF KALI.	p1	130	0.184	0.101	0.000	0.1691	0.00110	0.00117	2958228	3	picture	212548	399081	408	654	654	1281	1281	0.00000	0.25000
Jones et al_2010_The Productivity Effects of Stock Option Schemes	p6	165	0.051	0.027	0.000	0.0001	0.00000	0.00000	1567098	1	1-bit	487	53118	5	19	19	16	20	0.00000	0.25000
Jones et al_2010_The Productivity Effects of Stock Option Schemes	p11	170	0.033	0.021	0.000	0.0001	0.00000	0.00000	1567098	1	1-bit	418	32696	3	16	16	16	19	0.00000	0.25000
Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_	p5	128	0.084	0.003	0.000	0.0000	0.00000	0.00000	868770	2	1-bit	0	9846	0	21	21	15	22	0.00000	0.25000
Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_	p9	128	0.085	0.003	0.000	0.0000	0.00000	0.00000	868770	2	1-bit	0	10336	0	21	21	14	22	0.00000	0.25000
Lemieux et al. - Performance Pay and Wage Inequality	p17	129	0.085	0.000	0.000	0.0000	0.00000	0.00000	1131931	4	1-bit	0	9151	0	31	31	17	31	0.00000	0.25000
Lemieux et al. - Performance Pay and Wage Inequality	p34	130	0.058	0.000	0.000	0.0000	0.00000	0.00000	1131931	4	1-bit	0	7439	0	21	21	19	21	0.00000	0.25000
Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks	p9	131	0.165	0.007	0.000	0.0000	0.00000	0.00000	431123	2	1-bit	0	4541	0	19	19	11	19	0.00000	0.25000
Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks	p17	131	0.185	0.008	0.000	0.0000	0.00000	0.00000	406359	2	1-bit	0	5638	0	19	19	13	19	0.00000	0.25000
Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State	p4	128	0.077	0.000	0.000	0.0000	0.00000	0.00000	1714020	2	1-bit	0	0	0	1322	1322	0	1322	0.00000	0.25000
Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State	p8	128	0.100	0.000	0.000	0.0000	0.00000	0.00000	1714020	2	1-bit	0	0	0	1322	1322	0	1322	0.00000	0.25000
Lowell - The Government of Dependencies	p5	135	0.106	0.010	0.000	0.0000	0.00000	0.00000	649698	2	1-bit	0	19812	0	19	19	19	32	0.00000	0.25000
Lowell - The Government of Dependencies	p10	135	0.113	0.010	0.000	0.0000	0.00000	0.00000	649698	2	1-bit	1	19219	0	20	20	20	35	0.00000	0.25000
McWilliams_1933_Provincialism_The Frontier and Midland	p6	144	0.077	0.022	0.000	0.0000	0.00000	0.00000	3077832	1	1-bit	333	115588	3	210	210	48	211	0.00000	0.25000
McWilliams_1933_Provincialism_The Frontier and Midland	p11	142	0.096	0.025	0.000	0.0000	0.00000	0.00000	3077832	1	1-bit	362	139367	3	28	28	27	29	0.00000	0.25000
Merriam_1920_Daughter of Pan_The Montanan (The Frontier)	p1	137	0.166	0.226	0.086	0.0001	0.00000	0.00000	3844260	1	picture	1641	110900	9	1499	1499	34	1533	0.07147	0.25000
Price_1958_The Small Business Tax Revision of 1958	p13	135	0.093	0.008	0.000	0.0000	0.00000	0.00000	959196	2	1-bit	2	19135	0	21	21	21	21	0.00000	0.25000
Price_1958_The Small Business Tax Revision of 1958	p25	135	0.078	0.008	0.000	0.0000	0.00000	0.00000	959196	2	1-bit	2	19029	0	22	22	22	23	0.00000	0.25000
Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43)	p19	90	0.082	0.000	0.000	0.0000	0.00000	0.00000	936192	4	1-bit	0	3136	0	31	31	20	31	0.00000	0.25000
Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43)	p37	90	0.074	0.000	0.000	0.0000	0.00000	0.00000	936192	4	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
Riesman_1949_Men, Women, and Marriage_Nation	p2	148	0.147	0.054	0.000	0.0237	0.00000	0.00000	1637531	2	1-bit	700	116723	4	135	135	103	138	0.00000	0.25000
Riesman_1949_Men, Women, and Marriage_Nation	p3	151	0.009	0.004	0.000	0.0002	0.00000	0.00000	2869740	1	1-bit	2	15590	0	29	29	30	38	0.00000	0.25000
Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review	p6	90	0.078	0.000	0.000	0.0000	0.00000	0.00000	959784	4	1-bit	0	0	0	50	50	0	50	0.00000	0.25000
Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review	p11	90	0.086	0.000	0.000	0.0000	0.00000	0.00000	959784	4	1-bit	0	0	0	49	49	0	49	0.00000	0.25000
Riesman_1976_Thoughts on the Graduate Experience_Change	p3	143	0.151	0.028	0.000	0.0165	0.00241	0.00056	1629703	4	picture	20754	45899	200	524	524	536	536	0.00000	0.25000
Riesman_1976_Thoughts on the Graduate Experience_Change	p5	90	0.141	0.000	0.000	0.0000	0.00000	0.00000	1627128	4	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Ripley_1889_The Teaching of the English Language and Literature_Education	p6	138	0.099	0.019	0.000	0.0313	0.00000	0.00000	778757	2	1-bit	2461	19860	3	40	40	16	40	0.00000	0.25000
Ripley_1889_The Teaching of the English Language and Literature_Education	p11	138	0.107	0.021	0.000	0.0354	0.00000	0.00000	778757	2	1-bit	2805	21945	3	21	21	16	23	0.00000	0.25000
Robin_Stephens_1996_Against the Grain_Social Text	p11	127	0.054	0.000	0.001	0.0000	0.00000	0.00000	1247766	4	1-bit	0	0	0	19	19	0	19	0.00088	0.25000
Robin_Stephens_1996_Against the Grain_Social Text	p22	127	0.053	0.000	0.001	0.0000	0.00000	0.00000	1247766	4	1-bit	0	0	0	19	19	0	19	0.00088	0.25000
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY	p6	90	0.117	0.000	0.000	0.0000	0.00000	0.00000	1504430	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY	p12	90	0.116	0.000	0.000	0.0000	0.00000	0.00000	1495944	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Scott_TK_The Scientific Selection of Salesmen	p5	156	0.131	0.060	0.000	0.0073	0.00000	0.00000	984294	1	1-bit	558	73789	71	866	866	127	1090	0.00000	0.25000
Scott_TK_The Scientific Selection of Salesmen	p9	158	0.170	0.079	0.000	0.0074	0.00000	0.00000	994086	1	picture	557	96195	17	1099	1099	114	1103	0.00000	0.25000
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County	p13	141	0.063	0.018	0.014	0.0056	0.00000	0.00000	1039360	2	1-bit	49703	43690	46	26	46	50	50	0.00106	0.25000
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County	p25	138	0.079	0.017	0.002	0.0000	0.00000	0.00000	1611504	2	1-bit	0	42541	0	23	23	19	23	0.00270	0.25000
Wells_2015_A Long View of Shareholder Power	p23	90	0.090	0.000	0.000	0.0000	0.00000	0.00000	1124640	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Wells_2015_A Long View of Shareholder Power	p45	90	0.098	0.000	0.000	0.0000	0.00000	0.00000	1135134	2	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
Wilson_1975_Review of The Welfare State and Equality_Journal of Economic Literature	p2	129	0.104	0.000	0.000	0.0000	0.00000	0.00000	1248707	4	1-bit	0	14163	0	24	24	21	24	0.00000	0.25000
Wilson_1975_Review of The Welfare State and Equality_Journal of Economic Literature	p3	129	0.105	0.000	0.000	0.0000	0.00000	0.00000	1248707	4	1-bit	0	14068	0	19	19	18	20	0.00000	0.25000
Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO	p11	169	0.056	0.032	0.001	0.0017	0.00000	0.00000	976470	1	1-bit	439	34238	6	20	20	16	21	0.00000	0.25000
Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO	p22	181	0.036	0.031	0.000	0.0037	0.00000	0.00000	976470	1	1-bit	1841	26690	10	14	14	14	44	0.00000	0.25000
_1985_Issue 2_New Perspectives	p10	128	0.097	0.007	0.000	0.0000	0.00000	0.00000	1216908	2	1-bit	0	23928	0	23	23	19	24	0.00000	0.25000
_1985_Issue 2_New Perspectives	p20	128	0.093	0.007	0.000	0.0000	0.00000	0.00000	1216908	2	1-bit	0	23742	0	23	23	23	24	0.00000	0.25000
oster - Engagement of Anne Foster To Tucson Man Announced	p1	113	0.195	0.110	0.000	0.1037	0.00239	0.00302	1284644	6	picture	69825	183583	398	1348	1348	1348	1348	0.00000	0.25000
1947_Corporation Tax Study Due By House Body	p2	187	0.148	0.144	0.006	0.0242	0.00000	0.00000	1678600	1	picture	20688	167624	27	302	302	246	745	0.00000	0.25000
1947_Corporation Tax Study Due By House Body	p3	144	0.025	0.010	0.000	0.0596	0.00000	0.00000	1668096	1	1-bit	691306	32904	91	21	91	91	91	0.00000	0.25000
Astin__The Challenge of Open Admissions by Alexander W_UNZ.org	p2	135	0.094	0.010	0.001	0.0000	0.00000	0.00000	1639456	2	1-bit	5	40083	2	547	547	547	547	0.00068	0.25000
Astin__The Challenge of Open Admissions by Alexander W_UNZ.org	p3	128	0.188	0.017	0.001	0.0001	0.00000	0.00000	1639456	2	1-bit	595	53608	9	790	790	636	791	0.00071	0.25000
Black_0000_The Scandal of Educational Testing	p2	156	0.231	0.113	0.000	0.0076	0.00000	0.00000	1089786	1	picture	27148	105330	156	415	415	168	417	0.00000	0.25000
Black_0000_The Scandal of Educational Testing	p3	159	0.174	0.105	0.039	0.0073	0.00000	0.00000	1087104	1	picture	27093	108578	110	453	453	370	458	0.03727	0.25000
Bullitt_1959_The Future American Class System_Horizon	p3	161	0.065	0.033	0.000	0.0033	0.00000	0.00000	1459842	1	1-bit	1087	57893	12	122	122	43	139	0.00000	0.25000
Bullitt_1959_The Future American Class System_Horizon	p6	163	0.108	0.061	0.000	0.0020	0.00000	0.00000	1427926	1	1-bit	410	95637	8	156	156	70	158	0.00000	0.25000
Davis_2005_Optimism of the Will_Nation	p2	138	0.135	0.034	0.001	0.0034	0.00000	0.00000	1523676	2	picture	28539	59823	261	1421	1421	287	1421	0.00068	0.25000
Davis_2005_Optimism of the Will_Nation	p4	138	0.115	0.030	0.004	0.0000	0.00000	0.00000	1523676	2	1-bit	22	59265	8	118	118	108	119	0.00252	0.25000
Ehrenreich_2000_Maid to order_Harper's Magazine	p5	189	0.151	0.097	0.037	0.0331	0.00000	0.00000	2697800	1	picture	28839	125339	289	564	564	386	566	0.06198	0.25000
Ehrenreich_2000_Maid to order_Harper's Magazine	p9	192	0.145	0.106	0.023	0.0221	0.00000	0.00000	2722188	1	picture	25390	125930	96	512	512	232	512	0.03063	0.25000
Glazer_2002_Higher Ed_New Republic	p1	160	0.165	0.095	0.012	0.0708	0.00000	0.00000	2651760	1	picture	11589	274875	42	1905	1905	220	1905	0.00550	0.25000
Glazer_2002_Higher Ed_New Republic	p2	150	0.009	0.003	0.000	0.0003	0.00000	0.00000	659736	1	1-bit	0	4084	0	14	14	15	19	0.00000	0.25000
Glazer_2003_Kith and Kin_Commentary; New York	p2	130	0.067	0.001	0.000	0.0324	0.00000	0.00000	1512040	2	1-bit	33302	74501	7	1292	1292	19	1296	0.00000	0.25000
Glazer_2003_Kith and Kin_Commentary; New York	p3	130	0.062	0.001	0.001	0.0316	0.00000	0.00000	1527572	2	1-bit	31543	71239	6	1293	1293	16	1296	0.00000	0.25000
HarpersMagazine-1938-05-0019577	p4	172	0.139	0.094	0.036	0.1355	0.00265	0.00134	1683248	1	1-bit	4655	155060	638	26	638	663	663	0.02017	0.25000
HarpersMagazine-1938-05-0019577	p7	174	0.143	0.096	0.017	0.0870	0.00000	0.00000	1661108	1	1-bit	2378	153589	14	27	27	29	34	0.00042	0.25000
Kelly_2014_Orders of Magnitude_TLS	p2	148	0.133	0.032	0.001	0.0000	0.00000	0.00000	2750370	2	1-bit	12	106648	9	90	90	61	90	0.00000	0.25000
Kelly_2014_Orders of Magnitude_TLS	p3	164	0.191	0.150	0.101	0.0156	0.00000	0.00000	1068056	2	picture	168722	58743	438	442	442	443	443	0.12654	0.25000
Kristol_1960_High, Low, and Modern_Encounter	p4	139	0.113	0.024	0.003	0.0007	0.00000	0.00000	1152375	2	1-bit	0	3790	0	38	38	13	38	0.00177	0.25000
Kristol_1960_High, Low, and Modern_Encounter	p7	145	0.113	0.033	0.003	0.0003	0.00000	0.00000	1140935	2	1-bit	0	9423	0	38	38	16	38	0.00173	0.25000
Lasky et al. - 1949 - Letters from readers	p2	139	0.148	0.033	0.000	0.0350	0.00000	0.00000	935424	2	1-bit	5866	63684	8	20	20	32	58	0.00000	0.25000
Lasky et al. - 1949 - Letters from readers	p3	144	0.147	0.044	0.002	0.0615	0.00000	0.00000	939744	2	1-bit	2607	68968	7	20	20	40	56	0.00000	0.25000
Lemann, Nicholas_1977_Success In America_Washington Monthly	p2	90	0.120	0.020	0.000	0.0000	0.00000	0.00000	1004910	2	1-bit	4	25358	0	22	22	16	23	0.00000	0.25000
Lemann, Nicholas_1977_Success In America_Washington Monthly	p4	90	0.190	0.000	0.000	0.0000	0.00000	0.00000	1004910	2	1-bit	0	0	0	583	583	0	583	0.00000	0.25000
Lipset_Luethy_1955_European traditions and American sociology_Commentary (pre-1986); New York	p2	132	0.153	0.008	0.000	0.0000	0.00000	0.00000	699072	2	1-bit	2	10763	0	30	30	11	30	0.00000	0.25000
Lipset_Luethy_1955_European traditions and American sociology_Commentary (pre-1986); New York	p4	132	0.145	0.007	0.000	0.0000	0.00000	0.00000	703290	2	1-bit	0	10326	0	29	29	11	31	0.00000	0.25000
Luethy_1955_Social mobility again--And elites_Commentary (pre-1986); New York	p2	135	0.157	0.013	0.000	0.0000	0.00000	0.00000	667291	2	1-bit	0	14435	0	30	30	9	34	0.00000	0.25000
Luethy_1955_Social mobility again--And elites_Commentary (pre-1986); New York	p3	132	0.144	0.008	0.000	0.0000	0.00000	0.00000	717282	2	1-bit	0	10386	0	30	30	12	31	0.00000	0.25000
Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington	p1	138	0.321	0.071	0.000	0.0206	0.00000	0.00000	1171240	1	picture	11072	93731	94	746	746	226	751	0.00000	0.25000
Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington	p2	151	0.181	0.076	0.000	0.0506	0.00000	0.00000	1387726	1	picture	14113	114695	55	591	591	176	592	0.00000	0.25000
Merriam_1913_Clutter of Things_The Independent	p1	137	0.152	0.027	0.000	0.0238	0.00000	0.00000	971348	2	1-bit	4324	36164	3	140	140	16	142	0.00000	0.25000
Merriam_1913_Clutter of Things_The Independent	p2	136	0.173	0.030	0.000	0.0249	0.00000	0.00000	971348	2	picture	4550	39660	5	35	35	23	49	0.00000	0.25000
Part Two	p12	141	0.087	0.020	0.000	0.0000	0.00000	0.00000	2320487	1	1-bit	35	87976	3	27	27	27	36	0.00000	0.25000
Part Two	p24	143	0.068	0.017	0.000	0.0000	0.00000	0.00000	2320487	1	1-bit	134	74285	3	33	33	27	35	0.00000	0.25000
Peters_1989_Tilting at Windmilss_Washington Monthly	p2	90	0.124	0.000	0.000	0.0000	0.00000	0.00000	1141244	2	1-bit	0	3687	0	684	684	16	684	0.00000	0.25000
Peters_1989_Tilting at Windmilss_Washington Monthly	p3	90	0.099	0.000	0.000	0.0000	0.00000	0.00000	1141244	2	1-bit	0	4542	0	51	51	12	51	0.00000	0.25000
Sherman_1986_elite institutions_The Public Interest; New York	p3	136	0.071	0.011	0.000	0.0000	0.00000	0.00000	1311424	3	1-bit	3	26214	1	37	37	28	38	0.00000	0.25000
Sherman_1986_elite institutions_The Public Interest; New York	p5	135	0.074	0.010	0.000	0.0000	0.00000	0.00000	1322688	3	1-bit	8	25574	1	23	23	23	23	0.00000	0.25000
