document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route
Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_	p5	128	0.084	0.003	0.000	0.0000	0.00000	0.00000	868770	2	1-bit
Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_	p9	128	0.085	0.003	0.000	0.0000	0.00000	0.00000	868770	2	1-bit
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press	p28	90	0.105	0.000	0.000	0.0000	0.00000	0.00000	1861650	2	1-bit
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press	p55	90	0.099	0.000	0.000	0.0000	0.00000	0.00000	1861650	2	1-bit
Lasky et al. - 1949 - Letters from readers	p2	139	0.148	0.033	0.000	0.0350	0.00000	0.00000	935424	2	1-bit
Lasky et al. - 1949 - Letters from readers	p3	144	0.147	0.044	0.002	0.0615	0.00000	0.00000	939744	2	1-bit
Lemann, Nicholas_1977_Success In America_Washington Monthly	p2	90	0.120	0.020	0.000	0.0000	0.00000	0.00000	1004910	2	1-bit
Lemann, Nicholas_1977_Success In America_Washington Monthly	p4	90	0.190	0.000	0.000	0.0000	0.00000	0.00000	1004910	2	1-bit
Lemieux et al. - Performance Pay and Wage Inequality	p17	129	0.085	0.000	0.000	0.0000	0.00000	0.00000	1131931	4	1-bit
Lemieux et al. - Performance Pay and Wage Inequality	p34	130	0.058	0.000	0.000	0.0000	0.00000	0.00000	1131931	4	1-bit
Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ	p23	131	0.041	0.002	0.015	0.0119	0.00000	0.00000	1412444	2	1-bit
Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ	p45	133	0.040	0.003	0.015	0.0096	0.00000	0.00000	1412444	2	1-bit
Lipset_Luethy_1955_European traditions and American sociology_Commentary (pre-1986); New York	p2	132	0.153	0.008	0.000	0.0000	0.00000	0.00000	699072	2	1-bit
Lipset_Luethy_1955_European traditions and American sociology_Commentary (pre-1986); New York	p4	132	0.145	0.007	0.000	0.0000	0.00000	0.00000	703290	2	1-bit
Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks	p17	131	0.185	0.008	0.000	0.0000	0.00000	0.00000	406359	2	1-bit
Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks	p9	131	0.165	0.007	0.000	0.0000	0.00000	0.00000	431123	2	1-bit
Lloyd-Jones_Smith_1938_Selection and Admissions	p16	90	0.085	0.002	0.000	0.0000	0.00000	0.00000	467088	2	1-bit
Lloyd-Jones_Smith_1938_Selection and Admissions	p8	90	0.086	0.002	0.000	0.0000	0.00000	0.00000	784300	2	1-bit
Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State	p4	128	0.077	0.000	0.000	0.0000	0.00000	0.00000	1714020	2	1-bit
Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State	p8	128	0.100	0.000	0.000	0.0000	0.00000	0.00000	1714020	2	1-bit
Lowell - The Government of Dependencies	p10	135	0.113	0.010	0.000	0.0000	0.00000	0.00000	649698	2	1-bit
Lowell - The Government of Dependencies	p5	135	0.106	0.010	0.000	0.0000	0.00000	0.00000	649698	2	1-bit
Luethy_1955_Social mobility again--And elites_Commentary (pre-1986); New York	p2	135	0.157	0.013	0.000	0.0000	0.00000	0.00000	667291	2	1-bit
Luethy_1955_Social mobility again--And elites_Commentary (pre-1986); New York	p3	132	0.144	0.008	0.000	0.0000	0.00000	0.00000	717282	2	1-bit
Lyons oral history	p39	90	0.021	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit
Lyons oral history	p77	90	0.022	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit
MENDELSON_1974_The Ideological Debate in the Public School Guidance Movement, 1900-1970_New York University	p115	90	0.046	0.000	0.000	0.0000	0.00000	0.00000	1633826	2	1-bit
MENDELSON_1974_The Ideological Debate in the Public School Guidance Movement, 1900-1970_New York University	p58	90	0.046	0.000	0.000	0.0000	0.00000	0.00000	1646736	2	1-bit
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press	p4	90	0.093	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press	p7	90	0.092	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington	p1	138	0.321	0.071	0.000	0.0206	0.00000	0.00000	1171240	1	picture
Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington	p2	151	0.181	0.076	0.000	0.0506	0.00000	0.00000	1387726	1	picture
McWilliams_1933_Provincialism_The Frontier and Midland	p11	142	0.096	0.025	0.000	0.0000	0.00000	0.00000	3077832	1	1-bit
McWilliams_1933_Provincialism_The Frontier and Midland	p6	144	0.077	0.022	0.000	0.0000	0.00000	0.00000	3077832	1	1-bit
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co	p16	147	0.077	0.025	0.000	0.0000	0.00000	0.00000	1934426	1	1-bit
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co	p8	147	0.082	0.027	0.000	0.0000	0.00000	0.00000	1934426	1	1-bit
Merriam_1913_Clutter of Things_The Independent	p1	137	0.152	0.027	0.000	0.0238	0.00000	0.00000	971348	2	1-bit
Merriam_1913_Clutter of Things_The Independent	p2	136	0.173	0.030	0.000	0.0249	0.00000	0.00000	971348	2	picture
Merriam_1920_Daughter of Pan_The Montanan (The Frontier)	p1	137	0.166	0.226	0.086	0.0001	0.00000	0.00000	3844260	1	picture
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press	p11	90	0.105	0.000	0.000	0.0000	0.00000	0.00000	550620	3	1-bit
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press	p21	90	0.125	0.000	0.000	0.0000	0.00000	0.00000	542568	3	1-bit
Mintzberg - 1973 - The nature of managerial work	p40	90	0.067	0.000	0.000	0.0000	0.00000	0.00000	1826271	2	1-bit
Mintzberg - 1973 - The nature of managerial work	p80	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	1791396	2	1-bit
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press	p5	90	0.255	0.000	0.000	0.0000	0.00000	0.00000	2245672	2	1-bit
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press	p9	90	0.225	0.000	0.000	0.0000	0.00000	0.00000	2238236	2	1-bit
Morgan_1975_American Slavery, American Freedom_Norton	p2	127	0.086	0.000	0.001	0.0000	0.00000	0.00000	1141344	4	1-bit
Morgan_1975_American Slavery, American Freedom_Norton	p3	127	0.086	0.000	0.001	0.0000	0.00000	0.00000	1141344	4	1-bit
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49)	p17	90	0.090	0.000	0.000	0.0000	0.00000	0.00000	719514	2	1-bit
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49)	p9	90	0.089	0.000	0.000	0.0000	0.00000	0.00000	720792	2	1-bit
Mudge_2018_Leftism Reinvented_Harvard University Press	p125	90	0.095	0.000	0.000	0.0000	0.00000	0.00000	1070400	2	1-bit
Mudge_2018_Leftism Reinvented_Harvard University Press	p249	128	0.097	0.003	0.000	0.0000	0.00000	0.00000	1085950	2	1-bit
NAYLOR_Arthur E	p178	90	0.059	0.000	0.000	0.0000	0.00000	0.00000	1632375	2	1-bit
NAYLOR_Arthur E	p89	90	0.050	0.000	0.000	0.0000	0.00000	0.00000	1653372	2	1-bit
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1	p22	128	0.092	0.005	0.000	0.0000	0.00000	0.00000	1591352	2	1-bit
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1	p44	128	0.060	0.004	0.000	0.0000	0.00000	0.00000	1597551	2	1-bit
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press	p3	90	0.103	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press	p5	90	0.105	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
New York Stock Exchange_1956_Stock ownership plans for employees	p49	148	0.049	0.017	0.000	0.0000	0.00000	0.00000	1056708	1	1-bit
New York Stock Exchange_1956_Stock ownership plans for employees	p98	150	0.057	0.022	0.000	0.0011	0.00000	0.00000	1055814	1	1-bit
Noble_1977_America by design	p139	128	0.205	0.002	0.000	0.0000	0.00000	0.00000	1026844	3	1-bit
Noble_1977_America by design	p277	128	0.200	0.002	0.000	0.0000	0.00000	0.00000	1026844	3	1-bit
Nogales oral history	p16	90	0.023	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit
Nogales oral history	p31	90	0.022	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit
O'Brien_1955_The Area of Admissions in Higher Education_	p13	145	0.142	0.045	0.000	0.0414	0.00000	0.00000	725351	2	1-bit
O'Brien_1955_The Area of Admissions in Higher Education_	p25	144	0.140	0.043	0.000	0.0382	0.00000	0.00000	752376	2	1-bit
October_2,_1960_(Page_24_of_25	p1	141	0.197	0.262	0.000	0.0119	0.00015	0.00007	1754753	2	picture
PANG_1971_An Optimizing Approach to Educational Planning in Singapore_University of Illinois at Urbana-Champaign	p134	90	0.040	0.000	0.000	0.0000	0.00000	0.00000	1621760	2	1-bit
PANG_1971_An Optimizing Approach to Educational Planning in Singapore_University of Illinois at Urbana-Champaign	p67	90	0.063	0.000	0.000	0.0000	0.00000	0.00000	1612948	2	1-bit
PRICE_A History of the American College Personnel Association	p115	90	0.062	0.000	0.000	0.0000	0.00000	0.00000	1655965	2	1-bit
PRICE_A History of the American College Personnel Association	p58	90	0.060	0.000	0.000	0.0000	0.00000	0.00000	1657424	2	1-bit
Part Two	p12	141	0.087	0.020	0.000	0.0000	0.00000	0.00000	2320487	1	1-bit
Part Two	p24	143	0.068	0.017	0.000	0.0000	0.00000	0.00000	2320487	1	1-bit
Peters_1989_Tilting at Windmilss_Washington Monthly	p2	90	0.124	0.000	0.000	0.0000	0.00000	0.00000	1141244	2	1-bit
Peters_1989_Tilting at Windmilss_Washington Monthly	p3	90	0.099	0.000	0.000	0.0000	0.00000	0.00000	1141244	2	1-bit
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press	p11	128	0.058	0.022	0.000	0.0000	0.00000	0.00000	1290414	3	1-bit
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press	p6	128	0.037	0.013	0.000	0.0000	0.00000	0.00000	1290414	3	1-bit
Pianko_Diaspora Jewish nationalism and identity in America, 1914–1967	p175	90	0.049	0.000	0.000	0.0000	0.00000	0.00000	1667274	2	1-bit
Pianko_Diaspora Jewish nationalism and identity in America, 1914–1967	p88	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1675116	2	1-bit
Price_1958_The Small Business Tax Revision of 1958	p13	135	0.093	0.008	0.000	0.0000	0.00000	0.00000	959196	2	1-bit
Price_1958_The Small Business Tax Revision of 1958	p25	135	0.078	0.008	0.000	0.0000	0.00000	0.00000	959196	2	1-bit
RIESMAN_1942_American Law Institute Proceedings_	p4	156	0.079	0.025	0.000	0.0001	0.00000	0.00000	1654830	4	1-bit
RIESMAN_1942_American Law Institute Proceedings_	p7	159	0.071	0.024	0.000	0.0081	0.02939	0.00662	1627227	4	1-bit
Ries_Marshall_1955_web	p36	153	0.060	0.023	0.000	0.0238	0.00000	0.00000	1494207	1	1-bit
Ries_Marshall_1955_web	p72	153	0.064	0.024	0.000	0.0271	0.00000	0.00000	1495200	1	1-bit
Riesman - 1954 - Individualism reconsidered, and other essays	p17	103	0.108	0.277	0.091	0.0750	0.00000	0.00000	967302	2	picture
Riesman - 1954 - Individualism reconsidered, and other essays	p9	135	0.142	0.488	0.080	0.0974	0.00000	0.00000	468438	3	picture
Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43)	p19	90	0.082	0.000	0.000	0.0000	0.00000	0.00000	936192	4	1-bit
Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43)	p37	90	0.074	0.000	0.000	0.0000	0.00000	0.00000	936192	4	1-bit
Riesman_1949_Men, Women, and Marriage_Nation	p2	148	0.147	0.054	0.000	0.0237	0.00000	0.00000	1637531	2	1-bit
Riesman_1949_Men, Women, and Marriage_Nation	p3	151	0.009	0.004	0.000	0.0002	0.00000	0.00000	2869740	1	1-bit
Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review	p11	90	0.086	0.000	0.000	0.0000	0.00000	0.00000	959784	4	1-bit
Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review	p6	90	0.078	0.000	0.000	0.0000	0.00000	0.00000	959784	4	1-bit
Riesman_1964_From inner-directed to other- directed_	p13	90	0.135	0.000	0.000	0.0000	0.00000	0.00000	739700	2	1-bit
Riesman_1964_From inner-directed to other- directed_	p7	90	0.056	0.000	0.000	0.0000	0.00000	0.00000	743280	2	1-bit
Riesman_1964_The New Education_	p5	148	0.140	0.051	0.000	0.0689	0.00000	0.00000	676200	2	1-bit
Riesman_1964_The New Education_	p9	90	0.109	0.000	0.000	0.0000	0.00000	0.00000	605430	2	1-bit
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_	p11	90	0.151	0.000	0.000	0.0000	0.00000	0.00000	584361	2	1-bit
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_	p21	146	0.132	0.044	0.000	0.0745	0.00000	0.00000	589680	2	1-bit
Riesman_1976_Thoughts on the Graduate Experience_Change	p3	143	0.151	0.028	0.000	0.0165	0.00241	0.00056	1629703	4	picture
Riesman_1976_Thoughts on the Graduate Experience_Change	p5	90	0.141	0.000	0.000	0.0000	0.00000	0.00000	1627128	4	1-bit
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_	p14	90	0.117	0.000	0.000	0.0000	0.00000	0.00000	912989	2	1-bit
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_	p27	145	0.132	0.032	0.000	0.0019	0.00000	0.00000	910644	1	1-bit
Ripley_1889_The Teaching of the English Language and Literature_Education	p11	138	0.107	0.021	0.000	0.0354	0.00000	0.00000	778757	2	1-bit
Ripley_1889_The Teaching of the English Language and Literature_Education	p6	138	0.099	0.019	0.000	0.0313	0.00000	0.00000	778757	2	1-bit
Robertson_1990_Organizational adaptation to environmental change_Stanford University copy	p134	143	0.060	0.016	0.000	0.0000	0.00000	0.00000	1455300	1	1-bit
Robertson_1990_Organizational adaptation to environmental change_Stanford University copy	p67	146	0.066	0.020	0.000	0.0000	0.00000	0.00000	1440383	1	1-bit
Robin_Stephens_1996_Against the Grain_Social Text	p11	127	0.054	0.000	0.001	0.0000	0.00000	0.00000	1247766	4	1-bit
Robin_Stephens_1996_Against the Grain_Social Text	p22	127	0.053	0.000	0.001	0.0000	0.00000	0.00000	1247766	4	1-bit
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY	p12	90	0.116	0.000	0.000	0.0000	0.00000	0.00000	1495944	2	1-bit
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY	p6	90	0.117	0.000	0.000	0.0000	0.00000	0.00000	1504430	2	1-bit
Schaar, handwritten notes	p4	154	0.124	0.060	0.000	0.0467	0.00875	0.00579	1623208	1	1-bit
Schaar, handwritten notes	p8	154	0.119	0.043	0.000	0.0219	0.00109	0.00111	1628022	1	1-bit
Schumpeter_1955_Imperialism ; Social classes_World	p128	128	0.099	0.008	0.000	0.0000	0.00000	0.00000	817503	3	1-bit
Schumpeter_1955_Imperialism ; Social classes_World	p64	128	0.088	0.007	0.000	0.0000	0.00000	0.00000	832104	3	1-bit
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech	p101	157	0.133	0.064	0.037	0.0007	0.00000	0.00000	1727880	2	picture
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech	p201	138	0.057	0.011	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Scott_TK_The Scientific Selection of Salesmen	p5	156	0.131	0.060	0.000	0.0073	0.00000	0.00000	984294	1	1-bit
Scott_TK_The Scientific Selection of Salesmen	p9	158	0.170	0.079	0.000	0.0074	0.00000	0.00000	994086	1	picture
Senate, Democratic Leadership	p10	142	0.053	0.012	0.002	0.0002	0.00000	0.00000	2139904	1	1-bit
Senate, Democratic Leadership	p19	142	0.043	0.010	0.002	0.0002	0.00000	0.00000	2139904	1	1-bit
Sherman_1986_elite institutions_The Public Interest; New York	p3	136	0.071	0.011	0.000	0.0000	0.00000	0.00000	1311424	3	1-bit
Sherman_1986_elite institutions_The Public Interest; New York	p5	135	0.074	0.010	0.000	0.0000	0.00000	0.00000	1322688	3	1-bit
Shows and Burton - 1972 - Microeconomics	p13	128	0.177	0.006	0.000	0.0000	0.00000	0.00000	1058496	2	1-bit
Shows and Burton - 1972 - Microeconomics	p7	90	0.182	0.000	0.000	0.0000	0.00000	0.00000	1107108	2	1-bit
Silberman_1961_A study of industry policy considerations in the transition from airplane to_University of Southern California	p111	90	0.052	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Silberman_1961_A study of industry policy considerations in the transition from airplane to_University of Southern California	p56	90	0.052	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Stanford_1891_Jane Stanford opening day speech (undelivered)	p2	182	0.049	0.152	0.041	0.0246	0.00000	0.00000	1055307	1	picture
Stanford_1891_Jane Stanford opening day speech (undelivered)	p3	179	0.056	0.146	0.042	0.0320	0.00000	0.00000	1094548	1	picture
Stiglitz1975(onPasinetti1974)	p2	90	0.097	0.000	0.000	0.0000	0.00000	0.00000	1234592	4	1-bit
Stiglitz1975(onPasinetti1974)	p3	90	0.100	0.000	0.000	0.0000	0.00000	0.00000	1234592	4	1-bit
Stone_1965_England’s Revolution_The New York Review of Books	p2	128	0.111	0.007	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Stone_1965_England’s Revolution_The New York Review of Books	p3	128	0.107	0.007	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds	p19	90	0.092	0.000	0.000	0.0000	0.00000	0.00000	821730	2	1-bit
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds	p38	128	0.097	0.003	0.000	0.0000	0.00000	0.00000	844740	2	1-bit
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County	p13	141	0.063	0.018	0.014	0.0056	0.00000	0.00000	1039360	2	1-bit
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County	p25	138	0.079	0.017	0.002	0.0000	0.00000	0.00000	1611504	2	1-bit
TO_1985_Variations in Earnings in the Work Settings_University of Illinois at Urbana-Champaign	p159	90	0.049	0.000	0.000	0.0000	0.00000	0.00000	1612948	2	1-bit
TO_1985_Variations in Earnings in the Work Settings_University of Illinois at Urbana-Champaign	p80	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1612948	2	1-bit
TROTMAN - 1976 - Race, Iq, and the Middle-Class.	p40	90	0.026	0.000	0.000	0.0000	0.00000	0.00000	406080	4	1-bit
TROTMAN - 1976 - Race, Iq, and the Middle-Class.	p80	90	0.019	0.000	0.000	0.0000	0.00000	0.00000	408880	4	1-bit
Temin_1997_The American Business Elite in Historical Perspective	p17	153	0.044	0.016	0.000	0.0000	0.00000	0.00000	1647604	1	1-bit
Temin_1997_The American Business Elite in Historical Perspective	p33	155	0.041	0.016	0.000	0.0000	0.00000	0.00000	1649886	1	1-bit
UN-OCred	p14	168	0.128	0.085	0.000	0.1385	0.00057	0.00046	1149540	1	1-bit
UN-OCred	p27	176	0.128	0.078	0.000	0.0966	0.00039	0.00104	1138914	1	1-bit
WITTE_1978_Democracy, Authority and Alienation in Work_Yale University	p138	90	0.066	0.000	0.000	0.0000	0.00000	0.00000	1453094	2	1-bit
WITTE_1978_Democracy, Authority and Alienation in Work_Yale University	p276	90	0.053	0.000	0.000	0.0000	0.00000	0.00000	1467583	2	1-bit
Wells_2015_A Long View of Shareholder Power	p23	90	0.090	0.000	0.000	0.0000	0.00000	0.00000	1124640	2	1-bit
Wells_2015_A Long View of Shareholder Power	p45	90	0.098	0.000	0.000	0.0000	0.00000	0.00000	1135134	2	1-bit
Westad_2005_The Global Cold War_Cambridge University Press	p2	127	0.080	0.000	0.001	0.0000	0.00000	0.00000	1163492	4	1-bit
Westad_2005_The Global Cold War_Cambridge University Press	p3	127	0.084	0.000	0.001	0.0000	0.00000	0.00000	1163492	4	1-bit
Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK)	p1	150	0.219	0.093	0.000	0.0375	0.00000	0.00000	1230592	2	picture
Wilson_1975_Review of The Welfare State and Equality_Journal of Economic Literature	p2	129	0.104	0.000	0.000	0.0000	0.00000	0.00000	1248707	4	1-bit
Wilson_1975_Review of The Welfare State and Equality_Journal of Economic Literature	p3	129	0.105	0.000	0.000	0.0000	0.00000	0.00000	1248707	4	1-bit
Wu - 2003 - Employee stock option design and valuation	p37	90	0.034	0.000	0.000	0.0000	0.00000	0.00000	1684122	2	1-bit
Wu - 2003 - Employee stock option design and valuation	p74	90	0.049	0.000	0.000	0.0000	0.00000	0.00000	1685244	2	1-bit
Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO	p11	169	0.056	0.032	0.001	0.0017	0.00000	0.00000	976470	1	1-bit
Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO	p22	181	0.036	0.031	0.000	0.0037	0.00000	0.00000	976470	1	1-bit
Zarifa_2008_Emerging Forms of Stratification in Higher Education_	p173	90	0.033	0.000	0.000	0.0000	0.00000	0.00000	1422096	2	1-bit
Zarifa_2008_Emerging Forms of Stratification in Higher Education_	p87	90	0.017	0.000	0.000	0.0000	0.00000	0.00000	1385384	2	1-bit
Zheng - 2003 - Six -month -one -day employee stock option reprici	p26	90	0.041	0.000	0.000	0.0000	0.00000	0.00000	1696500	2	1-bit
Zheng - 2003 - Six -month -one -day employee stock option reprici	p51	90	0.041	0.000	0.000	0.0000	0.00000	0.00000	1667274	2	1-bit
Zipkin_2000_Management	p1	139	0.133	0.028	0.000	0.0000	0.00000	0.00000	813246	2	1-bit
Zipkin_2000_Management	p2	137	0.212	0.035	0.000	0.0000	0.00000	0.00000	870905	2	picture
_1926_Clapp defends Cox_Billings Gazette	p1	135	0.172	0.018	0.000	0.0001	0.00000	0.00000	3398198	2	1-bit
_1926_Cox resigns, following most severe public criticism that ever has been_Anaconda Standard	p1	135	0.168	0.022	0.000	0.0000	0.00000	0.00000	1818180	2	1-bit
_1926_English dept summer school_Havre Daily News Promoter	p1	128	0.164	0.008	0.000	0.0000	0.00000	0.00000	2808576	2	1-bit
_1928_Creative writing a featured course at Summer School_Helena Daily Independent	p1	128	0.281	0.010	0.000	0.0000	0.00000	0.00000	2225028	2	1-bit
_1931_Again, press most excited about Frontier's history section_Helena Daily Independent	p1	128	0.214	0.021	0.000	0.0000	0.00000	0.00000	2225090	2	1-bit
_1939_Former students to Board re Merriam_	p13	114	0.057	0.122	0.062	0.1705	0.21864	0.12637	3844260	1	picture
_1939_Former students to Board re Merriam_	p7	137	0.079	0.353	0.073	0.1771	0.00201	0.00833	3844260	1	picture
_1939_Kalispell resident offering private creative writing courses, out of her home_Kalispell Daily Inter Lake	p1	128	0.285	0.021	0.000	0.0003	0.00000	0.00000	2616513	2	1-bit
_1941_Fiedler's hiring at UM announced_Helena Independent	p1	128	0.261	0.019	0.000	0.0001	0.00000	0.00000	2454688	2	1-bit
_1945_Postwar Economic Policy and Planning_	p101	128	0.141	0.008	0.000	0.0000	0.00000	0.00000	2066400	2	1-bit
_1945_Postwar Economic Policy and Planning_	p51	128	0.125	0.007	0.000	0.0000	0.00000	0.00000	2144464	2	1-bit
_1950_Comic_Independent Record	p1	128	0.222	0.012	0.000	0.0000	0.00000	0.00000	3173100	2	1-bit
_1950_Fairchild Camera and Instrument Corporation Annual Report -- 1950_ProQuest Annual Reports	p17	129	0.125	0.003	0.000	0.0000	0.00000	0.00000	1312192	2	1-bit
_1950_Fairchild Camera and Instrument Corporation Annual Report -- 1950_ProQuest Annual Reports	p9	131	0.054	0.002	0.000	0.0000	0.00000	0.00000	1405964	2	1-bit
_1953_99 Cong_	p11	90	0.117	0.000	0.000	0.0000	0.00000	0.00000	1443055	3	1-bit
_1953_99 Cong_	p22	90	0.139	0.000	0.000	0.0000	0.00000	0.00000	1443055	3	1-bit
_1953_99 Cong_ 2	p11	90	0.125	0.000	0.000	0.0000	0.00000	0.00000	1411260	3	1-bit
_1953_99 Cong_ 2	p21	90	0.122	0.000	0.000	0.0000	0.00000	0.00000	1411260	3	1-bit
_1953_Conspicuous Production_	p2	148	0.113	0.040	0.000	0.0274	0.00000	0.00000	2237760	2	1-bit
_1953_Conspicuous Production_	p3	151	0.122	0.048	0.000	0.0255	0.00000	0.00000	2066477	2	1-bit
_1953_Fairchild Camera and Instrument Corporation Annual Report -- 1953_ProQuest Annual Reports	p17	132	0.080	0.004	0.000	0.0000	0.00000	0.00000	701190	2	1-bit
_1953_Fairchild Camera and Instrument Corporation Annual Report -- 1953_ProQuest Annual Reports	p9	133	0.031	0.002	0.000	0.0000	0.00000	0.00000	566412	2	1-bit
_1958_Executive Pay_Nation's Business (pre-1986); Washington	p3	147	0.186	0.062	0.000	0.0004	0.00000	0.00000	957145	1	picture
_1958_Executive Pay_Nation's Business (pre-1986); Washington	p5	145	0.185	0.062	0.000	0.0000	0.00000	0.00000	960399	1	picture
_1958_Small Business Investment Act_	p10	90	0.175	0.000	0.000	0.0000	0.00000	0.00000	819924	3	1-bit
_1958_Small Business Investment Act_	p19	90	0.196	0.000	0.000	0.0000	0.00000	0.00000	763336	3	1-bit
_1960_Organization and operation of the Small Business Administration_	p25	90	0.108	0.000	0.000	0.0000	0.00000	0.00000	906568	3	1-bit
_1960_Organization and operation of the Small Business Administration_	p49	90	0.096	0.000	0.000	0.0000	0.00000	0.00000	906568	3	1-bit
_1961_Fairchild Camera and Instrument Corporation Annual Report -- 1961_ProQuest Annual Reports	p13	90	0.225	0.000	0.000	0.0000	0.00000	0.00000	1480960	2	1-bit
_1961_Fairchild Camera and Instrument Corporation Annual Report -- 1961_ProQuest Annual Reports	p26	90	0.185	0.000	0.000	0.0000	0.00000	0.00000	1359450	2	1-bit
_1963_Fairchild Camera and Instrument Corporation Annual Report -- 1963_ProQuest Annual Reports	p12	90	0.332	0.000	0.000	0.0000	0.00000	0.00000	1153248	2	1-bit
_1963_Fairchild Camera and Instrument Corporation Annual Report -- 1963_ProQuest Annual Reports	p23	128	0.319	0.009	0.000	0.0000	0.00000	0.00000	987660	2	1-bit
_1966_Fairchild Camera and Instrument Corporation Annual Report -- 1966_ProQuest Annual Reports	p11	128	0.218	0.013	0.000	0.0001	0.00000	0.00000	1021075	2	1-bit
_1966_Fairchild Camera and Instrument Corporation Annual Report -- 1966_ProQuest Annual Reports	p21	90	0.083	0.000	0.000	0.0000	0.00000	0.00000	1620489	2	1-bit
