document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route
Autor et al_2020_Extending the Race between Education and Technology	p7	90	0.065	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning	p45	90	0.079	0.000	0.000	0.0000	0.00000	0.00000	1620640	2	1-bit
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning	p89	90	0.067	0.000	0.000	0.0000	0.00000	0.00000	1644150	2	1-bit
Baker_2000_The Supply-Side Effect of a Stock Market Crash	p5	129	0.089	0.000	0.000	0.0000	0.00000	0.00000	1333469	4	1-bit
Baker_2000_The Supply-Side Effect of a Stock Market Crash	p9	129	0.083	0.000	0.000	0.0000	0.00000	0.00000	1333469	4	1-bit
Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm	p135	90	0.054	0.000	0.000	0.0000	0.00000	0.00000	1691238	2	1-bit
Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm	p269	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1685600	2	1-bit
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	p19	136	0.064	0.012	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	p37	136	0.056	0.010	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Berendzen_1981_The Soaring Lesson of America in Space_Newsday (1940-1990), Nassau ed.; Long Island, N.Y.	p1	136	0.244	0.044	0.000	0.0113	0.00000	0.00000	1923012	1	picture
Berger_2013_Toward a Third Industrial Divide_	p17	128	0.055	0.004	0.000	0.0000	0.00000	0.00000	1121456	2	1-bit
Berger_2013_Toward a Third Industrial Divide_	p9	128	0.084	0.004	0.000	0.0000	0.00000	0.00000	1103792	2	1-bit
Berle_1940_New directions in the new world,_Harper	p11	90	0.090	0.000	0.000	0.0000	0.00000	0.00000	702464	2	1-bit
Berle_1940_New directions in the new world,_Harper	p21	90	0.089	0.000	0.000	0.0000	0.00000	0.00000	709632	2	1-bit
Black_0000_The Scandal of Educational Testing	p2	156	0.231	0.113	0.000	0.0076	0.00000	0.00000	1089786	1	picture
Black_0000_The Scandal of Educational Testing	p3	159	0.174	0.105	0.039	0.0073	0.00000	0.00000	1087104	1	picture
Boltanski_2006_On justification_Princeton University Press	p136	141	0.256	0.013	0.000	0.0072	0.00017	0.00022	3263067	3	1-bit
Boltanski_2006_On justification_Princeton University Press	p68	143	0.279	0.022	0.000	0.0078	0.00000	0.00000	1832844	2	1-bit
Borges_The Lottery in Babylon	p2	90	0.075	0.002	0.000	0.0000	0.00000	0.00000	1665475	2	1-bit
Borges_The Lottery in Babylon	p4	90	0.073	0.003	0.000	0.0000	0.00000	0.00000	1665475	2	1-bit
Broadhead - 1994 - Regionalism and the Upper Class	p5	165	0.159	0.156	0.000	0.1884	0.02959	0.01089	3202364	1	picture
Broadhead - 1994 - Regionalism and the Upper Class	p9	163	0.147	0.148	0.000	0.2081	0.03360	0.01081	3202364	1	picture
Bullitt_1959_The Future American Class System_Horizon	p3	161	0.065	0.033	0.000	0.0033	0.00000	0.00000	1459842	1	1-bit
Bullitt_1959_The Future American Class System_Horizon	p6	163	0.108	0.061	0.000	0.0020	0.00000	0.00000	1427926	1	1-bit
Burke - The Expansion of American Higher Education	p17	128	0.057	0.001	0.000	0.0000	0.00000	0.00000	723144	4	1-bit
Burke - The Expansion of American Higher Education	p9	128	0.068	0.001	0.000	0.0000	0.00000	0.00000	738135	4	1-bit
CAMFIELD_Psychologists at War	p112	131	0.064	0.003	0.000	0.0000	0.00000	0.00000	1473192	2	1-bit
CAMFIELD_Psychologists at War	p223	131	0.099	0.004	0.000	0.0000	0.00000	0.00000	1473192	2	1-bit
CARTWRIGHT_Legislation Against Discrimination in Employment in New York State	p133	90	0.066	0.000	0.000	0.0000	0.00000	0.00000	1640112	2	1-bit
CARTWRIGHT_Legislation Against Discrimination in Employment in New York State	p266	90	0.052	0.000	0.000	0.0000	0.00000	0.00000	1640112	2	1-bit
Canby_1915_Current Literature and the Colleges_Harper & Brothers	p17	155	0.094	0.018	0.000	0.0202	0.00000	0.00000	627154	2	1-bit
Canby_1915_Current Literature and the Colleges_Harper & Brothers	p9	155	0.094	0.016	0.000	0.0196	0.00000	0.00000	625534	2	1-bit
Canby_1929_Comment on Several Subjects	p2	139	0.008	0.002	0.000	0.0000	0.00000	0.00000	1767957	2	1-bit
Canby_1929_Comment on Several Subjects	p3	137	0.053	0.010	0.000	0.0000	0.00000	0.00000	1618074	2	1-bit
Casey_1954_1954 pay almanac,	p4	154	0.092	0.037	0.000	0.0166	0.00000	0.00000	1126440	1	1-bit
Casey_1954_1954 pay almanac,	p7	156	0.080	0.035	0.000	0.0219	0.00000	0.00000	1207794	1	1-bit
Clark_The graphic rating scale at Northwestern University	p37	90	0.028	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit
Clark_The graphic rating scale at Northwestern University	p74	90	0.050	0.000	0.000	0.0000	0.00000	0.00000	1277290	3	1-bit
Cohen_1990_Making a New Deal_Cambridge University Press	p3	129	0.088	0.000	0.001	0.0000	0.00000	0.00000	831048	4	1-bit
Cohen_1990_Making a New Deal_Cambridge University Press	p6	129	0.087	0.000	0.001	0.0000	0.00000	0.00000	831048	4	1-bit
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review	p13	129	0.123	0.000	0.000	0.0000	0.00000	0.00000	1113165	4	1-bit
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review	p7	129	0.119	0.000	0.000	0.0000	0.00000	0.00000	1113165	4	1-bit
Cooley - 2008 - Moving up, moving out Race and social mobility in Chicago, 1914–1972	p126	90	0.050	0.000	0.000	0.0000	0.00000	0.00000	1618724	2	1-bit
