doc	pages	digitalN	page	rawAnnots	surfacedN	nilN	subtypes	clause	pageMark	docMark	outlineN	allPass	splice
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	40	6	10	0	0	0	-	none	no	no	0	no	yes
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	40	6	11	0	0	0	-	none	no	no	0	no	yes
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	40	6	18	0	0	0	-	none	no	no	0	no	yes
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	40	6	19	0	0	0	-	none	no	no	0	no	yes
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	40	6	26	0	0	0	-	none	no	no	0	no	yes
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	40	6	27	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	2	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	3	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	4	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	6	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	8	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	9	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	10	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	11	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	12	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	14	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	15	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	16	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	17	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	19	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	21	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	23	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	24	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	25	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	27	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	28	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	29	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	30	0	0	0	-	none	no	no	0	no	yes
full chapter.pdf	32	23	31	0	0	0	-	none	no	no	0	no	yes
Henry Morgenthau papers.pdf	201	2	188	0	0	0	-	none	no	no	0	no	yes
Henry Morgenthau papers.pdf	201	2	189	0	0	0	-	none	no	no	0	no	yes
Intellectual History Newsletter -- Forum on Menand.pdf	45	6	1	0	0	0	-	none	no	no	44	no	no
Intellectual History Newsletter -- Forum on Menand.pdf	45	6	3	0	0	0	-	none	no	no	44	no	no
Intellectual History Newsletter -- Forum on Menand.pdf	45	6	13	0	0	0	-	none	no	no	44	no	no
Intellectual History Newsletter -- Forum on Menand.pdf	45	6	20	0	0	0	-	none	no	no	44	no	no
Intellectual History Newsletter -- Forum on Menand.pdf	45	6	26	0	0	0	-	none	no	no	44	no	no
Intellectual History Newsletter -- Forum on Menand.pdf	45	6	39	0	0	0	-	none	no	no	44	no	no
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	30	1	27	0	0	0	-	none	no	no	0	no	yes
Stiglitz1975(onPasinetti1974).pdf	3	1	1	3	3	0	Link,Link,Link	none	no	no	2	no	no
1935_Title Page.pdf	3	1	1	2	2	0	Link,Link	none	no	no	0	no	yes
Baker_2000_The Supply-Side Effect of a Stock Market Crash.pdf	12	1	1	1	1	0	Link	none	no	no	2	no	no
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	1	2	2	0	Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	2	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	3	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	4	2	2	0	Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	5	2	2	0	Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	6	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	7	1	1	0	Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	8	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	10	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	11	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	12	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	13	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	14	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	15	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	16	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	17	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	18	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	19	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	20	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
