doc	pages	digitalN	page	rawAnnots	surfacedN	nilN	subtypes	clause	pageMark	docMark	outlineN	allPass	splice
Davis_2005_Optimism of the Will_Nation.pdf	5	3	3	3	3	0	Highlight,Underline,Highlight	subtype	yes	yes	0	no	no
Davis_2005_Optimism of the Will_Nation.pdf	5	3	4	2	2	0	Highlight,Highlight	subtype	yes	yes	0	no	no
Kelly_2014_Orders of Magnitude_TLS.pdf	3	2	1	15	15	0	Highlight,Highlight,Highlight,Underline,Highlight,Stamp,Underline,Stamp,Highlight,Stamp,Highlight,Stamp,Highlight,Highlight,Stamp	subtype	yes	yes	0	no	no
Kelly_2014_Orders of Magnitude_TLS.pdf	3	2	2	10	10	0	Highlight,Highlight,Underline,Highlight,Highlight,Highlight,Highlight,Highlight,Underline,Highlight	subtype	yes	yes	0	no	no
_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	6	1	6	0	0	0	-	none	no	no	0	no	yes
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y..pdf	4	1	1	0	0	0	-	none	no	no	0	no	yes
1958_E.pdf	50	1	1	0	0	0	-	none	no	no	0	no	yes
AI 2027.pdf	71	32	5	22	22	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	7	21	21	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	19	12	12	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	20	9	9	0	Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	22	9	9	0	Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	25	2	2	0	Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	29	5	5	0	Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	31	9	9	0	Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	33	11	11	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	36	5	5	0	Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	44	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	45	5	5	0	Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	46	1	1	0	Link	none	no	no	4	no	no
AI 2027.pdf	71	32	48	3	3	0	Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	52	8	8	0	Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	53	5	5	0	Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	55	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	56	5	5	0	Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	57	5	5	0	Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	58	9	9	0	Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	59	4	4	0	Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	60	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	61	4	4	0	Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	62	8	8	0	Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	63	15	15	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	64	5	5	0	Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	65	3	3	0	Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	67	12	12	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	68	13	13	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	69	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	70	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	4	no	no
AI 2027.pdf	71	32	71	0	0	0	-	none	no	no	4	no	no
Ries_Marshall_1955_web.pdf	107	1	1	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	1	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	3	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	4	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	5	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	7	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	9	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	10	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	11	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	12	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	13	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	14	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	16	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	17	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	18	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	19	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	20	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	22	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	23	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	25	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	26	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	27	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	28	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	29	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	31	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	32	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	33	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	34	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	36	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	38	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	39	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	41	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	42	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	44	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	46	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	47	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	48	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	49	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	51	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	53	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	55	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	59	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	61	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	65	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	67	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	69	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	71	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	72	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	74	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	75	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	76	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	77	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	79	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	82	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	84	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	87	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	89	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	90	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	92	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	93	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	94	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	97	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	100	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	103	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	105	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	106	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	109	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	111	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	112	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	115	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	118	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	121	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	124	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	126	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	127	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	128	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	131	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	133	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	137	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	139	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	144	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	146	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	149	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	150	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	151	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	152	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	153	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	154	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	155	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	158	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	160	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	162	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	163	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	164	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	166	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	167	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	172	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	182	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	190	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	198	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	200	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	201	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	203	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	204	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	205	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	207	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	209	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	210	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	216	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	218	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	219	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	221	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	223	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	225	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	227	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	228	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	231	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	232	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	234	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	236	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	237	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	239	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	240	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	243	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	245	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	247	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	248	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	250	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	252	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	255	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	256	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	259	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	261	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	263	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	266	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	267	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	269	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	270	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	271	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	272	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	273	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	274	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	275	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	276	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	277	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	278	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	279	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	280	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	281	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	282	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	283	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	284	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	285	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	286	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	287	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	288	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	289	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	290	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	291	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	292	0	0	0	-	none	no	no	0	no	yes
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	167	293	0	0	0	-	none	no	no	0	no	yes
