document	page	source_route	source_page_bytes	before_route	before_page_bytes	after_route	after_page_bytes
Dobbin	99	passthrough	49535	passthrough	67200	passthrough	49535
Dobbin	100	passthrough	49845	passthrough	58216	passthrough	49845
Dobbin	101	passthrough	55952	passthrough	72335	passthrough	55952
Dobbin	102	passthrough	56264	passthrough	63277	passthrough	56264
Dobbin	103	passthrough	49794	passthrough	67564	passthrough	49794
Dobbin	104	passthrough	49791	passthrough	57991	passthrough	49791
Dobbin	105	passthrough	49852	passthrough	67483	passthrough	49852
Dobbin	106	passthrough	56293	passthrough	63194	passthrough	56293
Dobbin	107	passthrough	65871	passthrough	80555	passthrough	65871
Dobbin	108	passthrough	59058	passthrough	65730	passthrough	59058
Dobbin	109	passthrough	37159	passthrough	57461	passthrough	37159
Dobbin	110	passthrough	37199	passthrough	47693	passthrough	37199
Dobbin	111	passthrough	35584	passthrough	54579	passthrough	35584
Dobbin	112	passthrough	45153	passthrough	53980	passthrough	45153
Dobbin	113	passthrough	49434	passthrough	66969	passthrough	49434
Dobbin	114	passthrough	49947	passthrough	68786	passthrough	49947
Dobbin	115	passthrough	49574	passthrough	66990	passthrough	49574
Dobbin	116	passthrough	37366	passthrough	47783	passthrough	37366
Dobbin	117	passthrough	37146	passthrough	57173	passthrough	37146
Dobbin	118	passthrough	49990	passthrough	58169	passthrough	49990
Dobbin	119	passthrough	49317	passthrough	66598	passthrough	49317
Dobbin	120	passthrough	49602	passthrough	57896	passthrough	49602
Dobbin	121	passthrough	59050	passthrough	75188	passthrough	59050
Dobbin	122	passthrough	63144	passthrough	69070	passthrough	63144
Dobbin	123	passthrough	57320	passthrough	81310	passthrough	57320
Dobbin	124	passthrough	49758	passthrough	57951	passthrough	49758
Dobbin	125	passthrough	49722	passthrough	67501	passthrough	49722
Dobbin	126	passthrough	56448	passthrough	63411	passthrough	56448
Dobbin	127	passthrough	49704	passthrough	67374	passthrough	49704
Dobbin	128	passthrough	56534	passthrough	73059	passthrough	56534
Dobbin	129	passthrough	49629	passthrough	67298	passthrough	49629
Dobbin	130	passthrough	56216	passthrough	63040	passthrough	56216
Dobbin	131	passthrough	58936	passthrough	75143	passthrough	58936
Dobbin	132	passthrough	56388	passthrough	63581	passthrough	56388
Dobbin	133	passthrough	56250	passthrough	72415	passthrough	56250
Dobbin	134	passthrough	64890	passthrough	81021	passthrough	64890
Dobbin	135	passthrough	56976	passthrough	73830	passthrough	56976
Dobbin	136	passthrough	50092	passthrough	58199	passthrough	50092
Dobbin	137	passthrough	57555	passthrough	89351	passthrough	57555
Dobbin	138	passthrough	59267	passthrough	66181	passthrough	59267
Dobbin	139	passthrough	49732	passthrough	67463	passthrough	49732
Dobbin	140	passthrough	49588	passthrough	57642	passthrough	49588
Dobbin	141	passthrough	49782	passthrough	67624	passthrough	49782
Dobbin	142	passthrough	49796	passthrough	57848	passthrough	49796
Dobbin	143	passthrough	36989	passthrough	56644	passthrough	36989
Dobbin	144	passthrough	32648	passthrough	43571	passthrough	32648
Dobbin	145	passthrough	37160	passthrough	57222	passthrough	37160
Dobbin	146	passthrough	49815	passthrough	58291	passthrough	49815
Dobbin	147	passthrough	37446	passthrough	57794	passthrough	37446
Dobbin	148	passthrough	50018	passthrough	58533	passthrough	50018
Dobbin	149	passthrough	49676	passthrough	67883	passthrough	49676
Dobbin	150	passthrough	50034	passthrough	58279	passthrough	50034
Dobbin	151	passthrough	37298	passthrough	57192	passthrough	37298
Dobbin	152	passthrough	59055	passthrough	66110	passthrough	59055
Dobbin	153	passthrough	49972	passthrough	68048	passthrough	49972
Dobbin	154	passthrough	37148	passthrough	47763	passthrough	37148
Dobbin	155	passthrough	46961	passthrough	65440	passthrough	46961
Dobbin	156	passthrough	57292	passthrough	67832	passthrough	57292
Dobbin	157	passthrough	49919	passthrough	67501	passthrough	49919
Dobbin	158	passthrough	68623	passthrough	70837	passthrough	68623
Dobbin	159	passthrough	53720	passthrough	71559	passthrough	53720
Dobbin	160	passthrough	56618	passthrough	63723	passthrough	56618
Dobbin	161	passthrough	50005	passthrough	67987	passthrough	50005
Dobbin	162	passthrough	56484	passthrough	63793	passthrough	56484
Dobbin	163	passthrough	56601	passthrough	72985	passthrough	56601
Dobbin	164	passthrough	59921	passthrough	71507	passthrough	59921
Dobbin	165	passthrough	37217	passthrough	57240	passthrough	37217
Dobbin	166	passthrough	56501	passthrough	63580	passthrough	56501
Dobbin	167	passthrough	37356	passthrough	57559	passthrough	37356
Dobbin	168	passthrough	49973	passthrough	58388	passthrough	49973
Dobbin	169	passthrough	36933	passthrough	56569	passthrough	36933
Dobbin	170	passthrough	49754	passthrough	58030	passthrough	49754
Dobbin	171	passthrough	49268	passthrough	66472	passthrough	49268
Dobbin	172	passthrough	32705	passthrough	43718	passthrough	32705
Dobbin	173	passthrough	37157	passthrough	56926	passthrough	37157
Dobbin	174	passthrough	49635	passthrough	58186	passthrough	49635
Dobbin	175	passthrough	65401	passthrough	88406	passthrough	65401
Dobbin	176	passthrough	50145	passthrough	58508	passthrough	50145
Dobbin	177	passthrough	49455	passthrough	67135	passthrough	49455
Dobbin	178	passthrough	49945	passthrough	58678	passthrough	49945
Dobbin	179	passthrough	53635	passthrough	72648	passthrough	53635
Dobbin	180	passthrough	63443	passthrough	68035	passthrough	63443
Dobbin	181	passthrough	63439	passthrough	81758	passthrough	63439
Dobbin	182	passthrough	49857	passthrough	58341	passthrough	49857
Dobbin	183	passthrough	37252	passthrough	57100	passthrough	37252
Dobbin	184	passthrough	57459	passthrough	67835	passthrough	57459
Dobbin	185	passthrough	62885	passthrough	80430	passthrough	62885
Dobbin	186	passthrough	60413	passthrough	76504	passthrough	60413
