document	status	page	route	sat	tone	inkOut	layered	1bit	delta	verdict	extent	barVerdict	layeredAtBar	barDelta
# bar=0.045 corpus=/Users/cp1/Claude/vision-ocr/testdocs binary=/Users/cp1/.local/state/visionocr-autonomous/inkbar/score-text-route
book/1954 - Why.pdf	ok	p1	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p2	colour	0.178	0.192	0.1072	74081	5862	-68219	picture	0.00000	picture	74081	same
book/1954 - Why.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p4	grey	0.039	0.144	0.0540	22762	21399	-1363	all-text	0.00000	picture	67976	+45214
book/1954 - Why.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p6	grey	0.043	0.164	0.0493	20708	18973	-1735	all-text	0.00000	picture	62397	+41689
book/1954 - Why.pdf	ok	p7	grey	0.041	0.148	0.0660	22007	20315	-1692	all-text	0.00029	picture	65412	+43405
book/1954 - Why.pdf	ok	p8	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p9	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p10	grey	0.041	0.992	0.9735	31577	105	-31472	picture	0.00000	picture	31577	same
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p8	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p10	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p12	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p15	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p17	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p20	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p22	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p24	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p27	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p29	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p16	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p32	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p47	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p63	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p79	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p94	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p110	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p125	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p141	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p157	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p172	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Boltanski_2006_On justification_Princeton University Press.pdf	ok	p188	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p1	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p4	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p6	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p7	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p8	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p9	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Casey_1954_1954 pay almanac,.pdf	ok	p10	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf	ok	p1	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf	ok	p4	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf	ok	p6	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf	ok	p7	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf	ok	p8	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p34	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p68	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p101	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p135	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p168	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p202	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p235	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p269	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p302	grey	0.026	0.201	0.8892	190738	43856	-146882	picture	0.00000	picture	190738	same
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p336	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p369	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	ok	p403	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p7	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p10	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p12	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p14	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p17	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p19	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p21	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p24	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p26	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	ok	p28	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p18	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p35	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p53	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p70	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p87	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p105	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p122	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p140	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p157	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p174	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p192	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	ok	p209	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	ok	p1	grey	0.000	0.020	0.1937	38375	6625	-31750	picture	0.00000	picture	38375	same
book/Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	ok	p4	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	ok	p6	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Guilford_Psychometric Methods.pdf	ok	p1	grey	0.000	0.045	0.0031	29174	24263	-4911	all-text	0.00000	all-text	29174	same
book/Guilford_Psychometric Methods.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Guilford_Psychometric Methods.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Guilford_Psychometric Methods.pdf	ok	p4	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Guilford_Psychometric Methods.pdf	ok	p5	grey	0.000	0.046	0.0000	29303	24839	-4464	all-text	0.00000	all-text	29303	same
book/Guilford_Psychometric Methods.pdf	ok	p6	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p45	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p89	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p133	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p177	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p221	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p265	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p310	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p354	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p398	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p442	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p486	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	ok	p530	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p20	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p40	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p59	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p79	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p99	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p118	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p138	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p157	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p177	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p197	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p216	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	ok	p236	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Ibson_2006_Picturing men.pdf	ok	p21	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Ibson_2006_Picturing men.pdf	ok	p41	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Ibson_2006_Picturing men.pdf	ok	p61	grey	0.000	0.095	0.9515	161240	19003	-142237	picture	0.00000	picture	161240	same
book/Ibson_2006_Picturing men.pdf	ok	p81	grey	0.000	0.080	0.8366	60656	14709	-45947	picture	0.00000	picture	60656	same
book/Ibson_2006_Picturing men.pdf	ok	p102	grey	0.000	0.115	0.8028	71870	18503	-53367	picture	0.00000	picture	71870	same
book/Ibson_2006_Picturing men.pdf	ok	p122	grey	0.000	0.219	0.9949	42384	19423	-22961	picture	0.00000	picture	42384	same
book/Ibson_2006_Picturing men.pdf	ok	p142	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Ibson_2006_Picturing men.pdf	ok	p162	grey	0.000	0.113	0.9978	43247	7009	-36238	picture	0.00000	picture	43247	same
book/Ibson_2006_Picturing men.pdf	ok	p183	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Ibson_2006_Picturing men.pdf	ok	p203	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Ibson_2006_Picturing men.pdf	ok	p223	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Ibson_2006_Picturing men.pdf	ok	p243	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/JAH Review.pdf	ok	p1	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/JAH Review.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/JAH Review.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Keyssar_2000_The Right to Vote_Basic Books.pdf	ok	p1	grey	0.005	0.015	0.3303	159586	23879	-135707	picture	0.00000	picture	159586	same
book/Keyssar_2000_The Right to Vote_Basic Books.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Keyssar_2000_The Right to Vote_Basic Books.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p7	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p13	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p19	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p25	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p32	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p38	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p44	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p50	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p57	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p63	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p69	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ok	p75	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p10	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p19	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p28	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p37	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p46	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p55	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p65	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p74	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p83	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p92	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p101	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mintzberg - 1973 - The nature of managerial work.pdf	ok	p110	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p1	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p4	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p6	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p7	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p8	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p9	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p10	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p11	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	ok	p12	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Morgan_1975_American Slavery, American Freedom_Norton.pdf	ok	p1	grey	0.005	0.015	0.3316	157931	23708	-134223	picture	0.00000	picture	157931	same
book/Morgan_1975_American Slavery, American Freedom_Norton.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Morgan_1975_American Slavery, American Freedom_Norton.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p29	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p58	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p86	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p115	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p144	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p172	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p201	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p229	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p258	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p287	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p315	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	ok	p344	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	ok	p1	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	ok	p2	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	ok	p4	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
