verdict	pages	sampled	imagePages	digitalText	charsPerPage	maxImagePx	medianDPI	saturation	illumination	path
scanned	25	5	5	no	2836	1467	300	0.000	0.034	testdocs/bookSection/Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf
scanned	65	5	5	no	2385	2531	300	0.000	0.043	testdocs/bookSection/National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf
scanned	37	5	5	no	2154	1646	300	0.000	0.059	testdocs/bookSection/O'Brien_1955_The Area of Admissions in Higher Education_.pdf
scanned	15	5	5	no	4836	3534	403	0.000	0.069	testdocs/bookSection/Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf
scanned	40	5	4	no	3013	1830	300	0.000	0.068	testdocs/bookSection/Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf
scanned	11	5	5	no	4900	1936	150	0.000	0.053	testdocs/bookSection/Schaar, handwritten notes.pdf
scanned	56	5	5	no	3014	1750	300	0.000	0.052	testdocs/bookSection/Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf
scanned	150	5	5	no	3417	2656	302	0.000	0.034	testdocs/bookSection/_1945_Postwar Economic Policy and Planning_.pdf
scanned	32	5	1	no	1734	918	98	0.000	0.053	testdocs/bookSection/full chapter.pdf
scanned	8	5	5	no	0	1700	200	0.000	0.044	testdocs/document/(F) Dickens.pdf
scanned	9	5	5	no	0	4000	305	0.068	0.094	testdocs/document/1881 - Harry Wilcox.pdf
scanned	9	5	5	no	0	3024	72	0.063	0.088	testdocs/document/1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf
scanned	15	5	5	no	3065	1700	200	0.000	0.028	testdocs/document/2008_Hoagland oral history.pdf
scanned	18	5	5	no	3118	1700	200	0.000	0.041	testdocs/document/2008_McIntyre oral history.pdf
scanned	38	5	5	no	1832	1812	213	0.050	0.037	testdocs/document/2013 - Silicon Valley Program Transcript.pdf
scanned	71	5	5	no	1563	1700	200	0.000	0.024	testdocs/document/2015_Gibbs oral history.pdf
scanned	69	5	5	no	1532	1700	200	0.000	0.025	testdocs/document/2017_Bunnell oral history, athletics.pdf
scanned	75	5	5	no	2145	1275	150	0.003	0.025	testdocs/document/2024 - Class Action lawsuit re need blind admissions.pdf
scanned	3	3	3	no	0	1935	72	0.061	0.154	testdocs/document/Atkinson_1939_Atkinson on firings_.pdf
scanned	6	5	5	no	0	1935	72	0.054	0.123	testdocs/document/Ford_1941_Speech_.pdf
scanned	7	5	5	no	3314	2007	200	0.000	0.046	testdocs/document/Freud_Fetishism.pdf
scanned	14	5	5	no	7896	4334	300	0.000	0.044	testdocs/document/Galison_1998_Trading Zone_.pdf
scanned	99	5	5	no	1989	1700	200	0.000	0.028	testdocs/document/Geiger oral history.pdf
scanned	201	5	5	no	978	1700	200	0.000	0.011	testdocs/document/Henry Morgenthau papers.pdf
scanned	15	5	5	no	0	1700	200	0.000	0.036	testdocs/document/Herbert Marks papers.pdf
scanned	45	5	5	no	3384	1107	150	0.000	0.029	testdocs/document/Intellectual History Newsletter -- Forum on Menand.pdf
scanned	114	5	5	no	1684	3400	400	0.000	0.029	testdocs/document/Lyons oral history.pdf
scanned	46	5	5	no	1611	3400	400	0.000	0.026	testdocs/document/Nogales oral history.pdf
scanned	1	1	1	no	25382	2287	152	0.000	0.064	testdocs/document/October_2,_1960_(Page_24_of_25.pdf
scanned	10	5	5	no	1887	5256	600	0.000	0.047	testdocs/document/RIESMAN_1942_American Law Institute Proceedings_.pdf
scanned	18	5	5	no	2198	1490	300	0.000	0.033	testdocs/document/Riesman_1964_From inner-directed to other- directed_.pdf
scanned	12	5	5	no	2263	1470	300	0.000	0.059	testdocs/document/Riesman_1964_The New Education_.pdf
scanned	30	5	5	no	2850	3264	300	0.000	0.035	testdocs/document/Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf
scanned	27	5	5	no	1766	1468	173	0.002	0.008	testdocs/document/Senate, Democratic Leadership.pdf
scanned	4	4	4	no	1757	1192	150	0.045	0.025	testdocs/document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf
scanned	3	3	2	no	4654	4300	600	0.000	0.030	testdocs/document/Stiglitz1975(onPasinetti1974).pdf
scanned	18	5	5	no	0	1935	72	0.062	0.151	testdocs/document/_1939_Former students to Board re Merriam_.pdf
scanned	31	5	5	no	9840	3751	400	0.000	0.108	testdocs/document/_1953_99 Cong_ 2.pdf
scanned	32	5	5	no	8979	3850	400	0.000	0.081	testdocs/document/_1953_99 Cong_.pdf
scanned	3	3	3	no	5985	3045	337	0.000	0.049	testdocs/document/_1953_Conspicuous Production_.pdf
scanned	73	5	5	no	2834	2600	400	0.000	0.039	testdocs/document/_1960_Organization and operation of the Small Business Administration_.pdf
scanned	4	4	4	no	9094	1276	150	0.003	0.055	testdocs/document/_1973_Committee Against Racism_.pdf
scanned	16	5	5	no	0	3018	452	0.000	0.029	testdocs/document/_1979_Ideology of American Neo-Conservatism_.pdf
scanned	5	5	5	no	1864	1773	200	0.000	0.041	testdocs/document/ppf_description.pdf
scanned	64	5	5	no	999	2600	300	0.000	0.024	testdocs/document/w5093.pdf
scanned	3	3	2	no	282	2560	301	0.000	0.006	testdocs/journalArticle/1935_Title Page.pdf
scanned	3	3	3	no	3391	2550	150	0.005	0.120	testdocs/journalArticle/1944_Options picking up.pdf
scanned	3	3	2	no	3105	1696	300	0.066	0.062	testdocs/journalArticle/Albanese_1997_Senate Will Examine Stock Option Bill.pdf
scanned	12	5	5	no	2200	4200	600	0.000	0.052	testdocs/journalArticle/Baker_2000_The Supply-Side Effect of a Stock Market Crash.pdf
scanned	54	5	5	no	2759	3142	370	0.000	0.017	testdocs/journalArticle/Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf
scanned	5	5	5	no	2863	2479	300	0.000	0.026	testdocs/journalArticle/Borges_The Lottery in Babylon.pdf
scanned	24	5	5	no	1448	3224	600	0.000	0.051	testdocs/journalArticle/Burke - The Expansion of American Higher Education.pdf
scanned	19	5	5	no	4620	3900	600	0.000	0.040	testdocs/journalArticle/Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review.pdf
scanned	1	1	1	no	0	3450	300	0.000	0.021	testdocs/journalArticle/Crystal_2000_Option grants leave CEOs with sinking feeling.pdf
scanned	3	3	2	no	3582	2328	300	0.000	0.042	testdocs/journalArticle/Donahue - 2001 - Time to Get Serious About Talent Management.pdf
scanned	59	5	5	no	3185	2112	301	0.000	0.069	testdocs/journalArticle/Eyal-Cohen - Why Is Small Business the Chief Business of Congress.pdf
scanned	57	5	5	no	3475	3900	600	0.000	0.055	testdocs/journalArticle/Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors.pdf
scanned	1	1	1	no	10381	4813	400	0.000	0.074	testdocs/journalArticle/Har - THE NECKLACE OF KALI..pdf
scanned	15	5	5	no	4294	1240	150	0.000	0.041	testdocs/journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf
scanned	13	5	5	no	2778	1680	300	0.000	0.043	testdocs/journalArticle/Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_.pdf
scanned	50	5	5	no	2681	3900	600	0.000	0.067	testdocs/journalArticle/Lemieux et al. - Performance Pay and Wage Inequality.pdf
scanned	24	5	5	no	102	1171	301	0.000	0.038	testdocs/journalArticle/Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks.pdf
scanned	11	5	5	no	102	2544	300	0.000	0.048	testdocs/journalArticle/Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State.pdf
scanned	14	5	5	no	2409	1488	300	0.000	0.063	testdocs/journalArticle/Lowell - The Government of Dependencies.pdf
scanned	15	5	5	no	3084	1762	207	0.000	0.037	testdocs/journalArticle/McWilliams_1933_Provincialism_The Frontier and Midland.pdf
scanned	1	1	1	no	0	1935	72	0.086	0.157	testdocs/journalArticle/Merriam_1920_Daughter of Pan_The Montanan (The Frontier).pdf
scanned	37	5	5	no	2902	1824	305	0.000	0.058	testdocs/journalArticle/Price_1958_The Small Business Tax Revision of 1958.pdf
scanned	55	5	5	no	3241	3519	600	0.000	0.065	testdocs/journalArticle/Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43).pdf
scanned	3	3	3	no	4567	2585	300	0.000	0.019	testdocs/journalArticle/Riesman_1949_Men, Women, and Marriage_Nation.pdf
scanned	15	5	5	no	2463	3614	600	0.000	0.051	testdocs/journalArticle/Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review.pdf
scanned	7	5	5	no	6348	5123	600	0.000	0.051	testdocs/journalArticle/Riesman_1976_Thoughts on the Graduate Experience_Change.pdf
scanned	16	5	5	no	2678	1579	300	0.000	0.034	testdocs/journalArticle/Ripley_1889_The Teaching of the English Language and Literature_Education.pdf
scanned	32	5	5	no	3109	4300	600	0.001	0.050	testdocs/journalArticle/Robin_Stephens_1996_Against the Grain_Social Text.pdf
scanned	17	5	5	no	4800	2413	300	0.000	0.030	testdocs/journalArticle/Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY.pdf
scanned	13	5	5	no	7191	1026	150	0.000	0.054	testdocs/journalArticle/Scott_TK_The Scientific Selection of Salesmen.pdf
scanned	37	5	3	no	3739	2048	114	0.002	0.048	testdocs/journalArticle/Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf
scanned	67	5	5	no	3228	1961	300	0.000	0.065	testdocs/journalArticle/Wells_2015_A Long View of Shareholder Power.pdf
scanned	4	4	3	no	2683	4300	600	0.000	0.055	testdocs/journalArticle/Wilson_1975_Review of The Welfare State and Equality_Journal of Economic Literature.pdf
scanned	32	5	5	no	2876	1382	150	0.001	0.039	testdocs/journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf
scanned	29	5	5	no	2701	2112	301	0.000	0.068	testdocs/journalArticle/_1985_Issue 2_New Perspectives.pdf
scanned	1	1	1	no	16860	6535	400	0.000	0.077	testdocs/journalArticle/oster - Engagement of Anne Foster To Tucson Man Announced.pdf
scanned	4	4	4	no	5734	1244	150	0.002	0.032	testdocs/magazineArticle/1947_Corporation Tax Study Due By House Body.pdf
scanned	3	3	3	no	6066	2572	303	0.001	0.071	testdocs/magazineArticle/Astin__The Challenge of Open Admissions by Alexander W_UNZ.org.pdf
scanned	3	3	3	no	7779	1932	150	0.000	0.111	testdocs/magazineArticle/Black_0000_The Scandal of Educational Testing.pdf
scanned	8	5	5	no	4185	1190	150	0.000	0.040	testdocs/magazineArticle/Bullitt_1959_The Future American Class System_Horizon.pdf
born-digital	5	5	1	yes	3615	1166	88	0.004	0.030	testdocs/magazineArticle/Davis_2005_Optimism of the Will_Nation.pdf
scanned	13	5	5	no	4285	1613	200	0.000	0.034	testdocs/magazineArticle/Ehrenreich_2000_Maid to order_Harper's Magazine.pdf
scanned	2	2	1	no	3608	1590	200	0.012	0.033	testdocs/magazineArticle/Glazer_2002_Higher Ed_New Republic.pdf
scanned	3	3	3	no	4802	2381	300	0.000	0.032	testdocs/magazineArticle/Glazer_2003_Kith and Kin_Commentary; New York.pdf
scanned	10	5	5	no	4062	1214	200	0.025	0.031	testdocs/magazineArticle/HarpersMagazine-1938-05-0019577.pdf
scanned	3	3	3	no	10129	2092	187	0.001	0.044	testdocs/magazineArticle/Kelly_2014_Orders of Magnitude_TLS.pdf
scanned	10	5	5	no	4128	2001	300	0.003	0.042	testdocs/magazineArticle/Kristol_1960_High, Low, and Modern_Encounter.pdf
scanned	3	3	3	no	4989	1755	300	0.000	0.026	testdocs/magazineArticle/Lasky et al. - 1949 - Letters from readers.pdf
scanned	5	5	5	no	2515	1866	300	0.000	0.074	testdocs/magazineArticle/Lemann, Nicholas_1977_Success In America_Washington Monthly.pdf
scanned	5	5	5	no	132	1656	301	0.000	0.055	testdocs/magazineArticle/Lipset_Luethy_1955_European traditions and American sociology_Commentary (pre-1986); New York.pdf
scanned	4	4	4	no	134	1640	300	0.000	0.064	testdocs/magazineArticle/Luethy_1955_Social mobility again--And elites_Commentary (pre-1986); New York.pdf
scanned	2	2	2	no	4210	1177	197	0.000	0.087	testdocs/magazineArticle/Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington.pdf
scanned	2	2	2	no	5341	1808	300	0.000	0.052	testdocs/magazineArticle/Merriam_1913_Clutter of Things_The Independent.pdf
scanned	35	5	5	no	2341	1529	180	0.000	0.046	testdocs/magazineArticle/Part Two.pdf
scanned	4	4	4	no	3845	2021	300	0.000	0.048	testdocs/magazineArticle/Peters_1989_Tilting at Windmilss_Washington Monthly.pdf
scanned	6	5	5	no	0	3464	419	0.000	0.065	testdocs/magazineArticle/Sherman_1986_elite institutions_The Public Interest; New York.pdf
scanned	4	4	4	no	4977	2551	300	0.000	0.056	testdocs/magazineArticle/Stone_1965_England’s Revolution_The New York Review of Books.pdf
scanned	6	5	4	no	5124	971	150	0.000	0.050	testdocs/magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf
scanned	1	1	1	no	7765	1159	140	0.064	0.073	testdocs/magazineArticle/_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf
scanned	3	3	3	no	2479	1835	300	0.000	0.051	testdocs/magazineArticle/_1977_What We're About_Washington Monthly.pdf
scanned	1	1	1	no	268	2036	292	0.000	0.028	testdocs/newspaperArticle/1976_Results of Trading in Stock Options.pdf
scanned	1	1	1	no	8451	1246	150	0.000	0.087	testdocs/newspaperArticle/Berendzen_1981_The Soaring Lesson of America in Space_Newsday (1940-1990), Nassau ed.; Long Island, N.Y..pdf
