verdict	pages	sampled	imagePages	digitalText	charsPerPage	maxImagePx	medianDPI	saturation	illumination	path
scanned	240	5	5	no	2200	2550	300	0.000	0.029	testdocs/thesis/Drumright - 2005 - A river for war, a watershed to change The Tennessee Valley Authority during World War II.pdf
scanned	679	5	5	no	1373	2598	300	0.000	0.025	testdocs/thesis/ERICKSON - 1952 - The Taxation of Investment Companies in the United States.pdf
scanned	484	5	5	no	2285	3433	300	0.000	0.032	testdocs/thesis/Engstrom - 2005 - The lost origins of American fair employment law State fair employment practices bureaus and the po.pdf
scanned	212	5	5	no	1317	2582	300	0.000	0.023	testdocs/thesis/GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University.pdf
scanned	221	5	5	no	2168	2499	301	0.000	0.028	testdocs/thesis/GIERHAN_The Role of Head Student Personnel Administrators in the Big Eight Universities.pdf
scanned	328	5	5	no	1763	2584	300	0.000	0.034	testdocs/thesis/GRUMET_The Menorah Idea and the Apprenticeship of Lionel Trilling.pdf
scanned	319	5	5	no	1788	2563	300	0.000	0.036	testdocs/thesis/Ho_Useful fiction.pdf
scanned	571	5	5	no	1829	2711	301	0.000	0.025	testdocs/thesis/Jensen_The rise of an African-American Left.pdf
scanned	188	5	5	no	1614	2550	300	0.000	0.017	testdocs/thesis/Kiernan_1959_Job evaluation for precision optical craftsmen_University of Southern California.pdf
scanned	189	5	5	no	1879	3304	300	0.000	0.028	testdocs/thesis/Koh - 2008 - Essays on stock options expensing and stock option.pdf
scanned	171	5	5	no	2112	2585	300	0.000	0.031	testdocs/thesis/MENDELSON_1974_The Ideological Debate in the Public School Guidance Movement, 1900-1970_New York University.pdf
scanned	266	5	5	no	1616	2593	300	0.000	0.026	testdocs/thesis/NAYLOR_Arthur E.pdf
scanned	200	5	5	no	830	3322	300	0.000	0.019	testdocs/thesis/PANG_1971_An Optimizing Approach to Educational Planning in Singapore_University of Illinois at Urbana-Champaign.pdf
scanned	172	5	5	no	1425	2607	300	0.000	0.022	testdocs/thesis/PRICE_A History of the American College Personnel Association.pdf
scanned	261	5	5	no	1936	2551	300	0.000	0.025	testdocs/thesis/Pianko_Diaspora Jewish nationalism and identity in America, 1914–1967.pdf
scanned	107	5	5	no	1576	1206	150	0.000	0.019	testdocs/thesis/Ries_Marshall_1955_web.pdf
scanned	200	5	5	no	1557	1198	150	0.000	0.027	testdocs/thesis/Robertson_1990_Organizational adaptation to environmental change_Stanford University copy.pdf
scanned	300	5	2	no	2359	2641	87	0.027	0.130	testdocs/thesis/Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf
scanned	165	5	5	no	1167	2556	300	0.000	0.013	testdocs/thesis/Silberman_1961_A study of industry policy considerations in the transition from airplane to_University of Southern California.pdf
scanned	237	5	5	no	1591	2565	300	0.000	0.025	testdocs/thesis/TO_1985_Variations in Earnings in the Work Settings_University of Illinois at Urbana-Champaign.pdf
scanned	119	5	5	no	1624	2496	602	0.000	0.043	testdocs/thesis/TROTMAN - 1976 - Race, Iq, and the Middle-Class..pdf
scanned	413	5	5	no	1705	2358	301	0.000	0.025	testdocs/thesis/WITTE_1978_Democracy, Authority and Alienation in Work_Yale University.pdf
scanned	110	5	5	no	1850	2565	300	0.000	0.048	testdocs/thesis/Wu - 2003 - Employee stock option design and valuation.pdf
scanned	258	5	5	no	1402	3163	300	0.000	0.024	testdocs/thesis/Zarifa_2008_Emerging Forms of Stratification in Higher Education_.pdf
scanned	76	5	5	no	2002	2571	300	0.000	0.030	testdocs/thesis/Zheng - 2003 - Six -month -one -day employee stock option reprici.pdf
