file	page	px	nowKB	maskKB	bgKB	fgKB	mrcKB	ratio	mrcPSNR	nowPSNR
Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington.pdf	2	1177x1538	588	37	86	33	156	3.76x	20.38	38.46	159
Merriam_1913_Clutter of Things_The Independent.pdf	2	1808x2807	1340	70	113	89	273	4.90x	22.02	40.05	155
_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	3	919x1357	468	33	59	25	117	3.98x	20.13	37.57	180
_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	4	971x1387	458	27	58	22	109	4.19x	20.23	38.01	144
_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	5	915x1369	504	34	47	26	108	4.64x	19.55	37.40	187
_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf	1	1159x1573	502	36	69	24	130	3.86x	23.76	37.61	224
Berendzen_1981_The Soaring Lesson of America in Space_Newsday (1940-1990), Nassau ed.; Long Island, N.Y..pdf	1	1246x2011	752	47	111	34	192	3.90x	21.34	38.60	193
Gitlin_2000_How Our Crowd Got Lonely_New York Times.pdf	1	959x1281	479	38	51	21	112	4.28x	19.91	37.23	203
Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK).pdf	1	1997x3219	1627	108	320	143	573	2.84x	19.91	40.16	315
Zipkin_2000_Management.pdf	2	1908x2383	1609	80	170	74	324	4.96x	20.94	38.47	269
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y..pdf	2	1296x1086	356	25	55	19	101	3.52x	21.00	39.25	197
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y..pdf	3	1328x1134	408	27	63	21	112	3.63x	20.79	38.93	199
___ 3.pdf	1	6215x9217	8781	383	2109	294	2786	3.15x	30.84	42.42	722
___ 4.pdf	1	2383x4281	1547	96	312	126	536	2.89x	22.60	42.14	462
Doermann_1967_The market for college education in the United States.pdf	10	2652x3202	1084	48	265	59	372	2.91x	30.88	42.12	104
Doermann_1967_The market for college education in the United States.pdf	21	2658x3200	1312	80	304	75	460	2.85x	28.58	40.39	52
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	151	736x952	111	6	16	6	30	3.73x	25.82	41.00	26

=== 72 picture pages ===
today: 61219 KB   MRC: 18798 KB   3.26x smaller
