# background /1 (MRC_BG), foreground /4 (shipped default) — before R50's all-text shrink, which is a floor and can only raise them
file	page	px	dpi	route	boxes	inkOut	nowKB	maskKB	bgKB	fgKB	mrcKB	bgF	fgF	ratio	kept	mrcPSNR	nowPSNR	note
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	3	992x1441	150.1	grey	35	0.0123	231.9	15.8	186.4	14.7	216.9	1.0	4.0	1.07x	mrc	33.81	40.48	-
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	4	993x1438	149.9	grey	31	0.0578	227.3	14.0	179.1	14.0	207.1	1.0	4.0	1.10x	mrc	33.19	40.45	-
_1939_Former students to Board re Merriam_.pdf	7	1935x2592	72.0	colour	33	0.0001	800.2	32.1	789.5	31.9	853.5	1.0	4.0	0.94x	jpeg	33.62	40.38	-
_1939_Former students to Board re Merriam_.pdf	10	1935x2592	72.0	colour	21	0.7874	676.9	18.5	678.5	17.0	714.0	1.0	4.0	0.95x	jpeg	38.80	41.59	-
_1939_Former students to Board re Merriam_.pdf	14	1935x2592	72.0	grey	46	0.0000	755.9	37.3	712.2	39.2	788.7	1.0	4.0	0.96x	jpeg	31.17	41.27	-
_1973_Committee Against Racism_.pdf	2	1276x1651	150.1	grey	80	0.0000	775.5	43.8	428.4	38.2	510.5	1.0	4.0	1.52x	mrc	21.54	37.71	-
_1973_Committee Against Racism_.pdf	3	1275x1650	150.0	grey	80	0.0000	802.2	46.7	386.9	38.5	472.1	1.0	4.0	1.70x	mrc	20.30	37.59	-
1944_Options picking up.pdf	1	1208x1656	150.0	grey	188	0.0714	553.1	37.7	403.7	22.7	464.1	1.0	4.0	1.19x	mrc	29.00	37.61	-
1944_Options picking up.pdf	2	1203x1652	150.0	grey	128	0.6793	469.0	24.3	361.8	16.4	402.5	1.0	4.0	1.17x	mrc	30.27	38.67	-
Albanese_1997_Senate Will Examine Stock Option Bill.pdf	1	1696x2200	300.0	colour	129	0.5322	703.6	38.2	482.1	45.5	565.8	1.0	4.0	1.24x	mrc	26.58	41.64	-
Albanese_1997_Senate Will Examine Stock Option Bill.pdf	2	1696x2200	300.0	colour	175	0.3011	838.1	46.2	584.6	53.1	683.9	1.0	4.0	1.23x	mrc	26.12	40.76	-
Har - THE NECKLACE OF KALI..pdf	1	4813x7223	400.0	grey	873	0.6420	6131.6	194.6	6021.2	321.3	6537.2	1.0	4.0	0.94x	jpeg	29.99	41.16	-
Merriam_1920_Daughter of Pan_The Montanan (The Frontier).pdf	1	1935x2592	72.0	colour	90	0.1797	904.6	38.6	894.9	29.1	962.6	1.0	4.0	0.94x	jpeg	34.01	38.86	-
oster - Engagement of Anne Foster To Tucson Man Announced.pdf	1	6535x9249	400.0	grey	656	0.5813	12589.8	314.5	12314.6	568.9	13198.0	1.0	4.0	0.95x	jpeg	28.80	39.99	-
1947_Corporation Tax Study Due By House Body.pdf	2	1244x1758	150.1	grey	316	0.6021	636.7	26.4	566.7	18.0	611.1	1.0	4.0	1.04x	mrc	31.36	37.56	-
Black_0000_The Scandal of Educational Testing.pdf	1	1932x2636	284.1	grey	100	0.8235	814.0	27.0	568.7	39.7	635.4	1.0	4.0	1.28x	mrc	28.48	42.24	-
Black_0000_The Scandal of Educational Testing.pdf	2	1020x1391	150.0	grey	237	0.4642	486.2	32.0	310.9	20.2	363.1	1.0	4.0	1.34x	mrc	23.13	37.72	-
Black_0000_The Scandal of Educational Testing.pdf	3	1020x1388	150.0	grey	284	0.2251	520.0	34.4	336.4	22.5	393.3	1.0	4.0	1.32x	mrc	22.81	37.29	-
Davis_2005_Optimism of the Will_Nation.pdf	3	717x960	88.2	colour	106	0.5948	221.6	13.4	151.9	10.0	175.3	1.0	4.0	1.26x	mrc	24.66	33.03	-
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	5	1600x2201	200.3	grey	66	0.6425	597.5	32.1	466.6	28.7	527.4	1.0	4.0	1.13x	mrc	29.39	39.74	-
Glazer_2002_Higher Ed_New Republic.pdf	1	1590x2177	200.1	grey	190	0.0648	849.6	62.2	672.9	54.8	789.9	1.0	4.0	1.08x	mrc	23.89	39.70	-
Kelly_2014_Orders of Magnitude_TLS.pdf	3	2092x2664	186.8	colour	191	0.5557	1402.6	47.2	809.4	59.9	916.5	1.0	4.0	1.53x	mrc	24.76	38.59	-
Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington.pdf	1	1016x1502	156.5	grey	160	0.6980	463.7	26.1	303.2	20.9	350.1	1.0	4.0	1.32x	mrc	23.07	38.55	-
Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington.pdf	2	1177x1538	197.3	grey	158	0.2413	588.3	37.3	351.9	33.3	422.5	1.0	4.0	1.39x	mrc	21.58	38.46	-
Merriam_1913_Clutter of Things_The Independent.pdf	2	1808x2807	300.0	grey	156	0.0063	1340.6	70.7	649.9	89.8	810.4	1.0	4.0	1.65x	mrc	22.42	40.05	-
_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	3	919x1357	150.1	grey	183	0.0087	469.0	33.1	271.9	25.6	330.5	1.0	4.0	1.42x	mrc	20.89	37.57	-
_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	4	971x1387	150.0	grey	144	0.4134	458.9	27.8	252.3	23.0	303.1	1.0	4.0	1.51x	mrc	21.31	38.01	-
_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	5	915x1369	150.0	grey	190	0.0081	504.7	34.9	241.5	26.2	302.5	1.0	4.0	1.67x	mrc	20.01	37.40	-
_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf	1	1159x1573	140.0	colour	224	0.0257	528.4	36.6	336.7	26.0	399.3	1.0	4.0	1.32x	mrc	25.22	35.68	-
Berendzen_1981_The Soaring Lesson of America in Space_Newsday (1940-1990), Nassau ed.; Long Island, N.Y..pdf	1	1246x2011	150.0	grey	190	0.4708	752.8	47.2	465.6	34.4	547.2	1.0	4.0	1.38x	mrc	22.56	38.60	-
Gitlin_2000_How Our Crowd Got Lonely_New York Times.pdf	1	959x1281	149.9	grey	204	0.0210	480.0	38.7	262.8	21.7	323.1	1.0	4.0	1.49x	mrc	20.89	37.23	-
Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK).pdf	1	1997x3219	330.0	grey	315	0.0023	1627.8	108.7	1340.7	143.5	1592.9	1.0	4.0	1.02x	mrc	20.51	40.16	-
Zipkin_2000_Management.pdf	2	1908x2383	300.0	grey	271	0.2025	1609.7	80.5	700.2	74.2	854.9	1.0	4.0	1.88x	mrc	22.29	38.47	-
