type	era	file	zotero_key	result	pages	line_starts	line_ends	offset	overlap	words	seconds
journalArticle	new	journalArticle/Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY.pdf	ULKMCI8H	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/77	words=100%	4s
journalArticle	old	journalArticle/Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43).pdf	4FSY3Z2A	OK	3p	start=100%	end=99%	off=-0.10	overlap=1/133	words=100%	5s
journalArticle	old	journalArticle/Riesman_1949_Men, Women, and Marriage_Nation.pdf	IDESW58B	OK	3p	start=100%	end=99%	off=-0.10	overlap=0/28	words=100%	5s
journalArticle	old	journalArticle/Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review.pdf	SHAQH875	OK	3p	start=100%	end=99%	off=+0.00	overlap=0/99	words=100%	4s
journalArticle	unk	journalArticle/Eyal-Cohen - Why Is Small Business the Chief Business of Congress.pdf	4P73M37F	OK	3p	start=100%	end=98%	off=-0.10	overlap=1/99	words=100%	3s
journalArticle	unk	journalArticle/Lemieux et al. - Performance Pay and Wage Inequality.pdf	QITMNVR3	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/101	words=100%	5s
journalArticle	unk	journalArticle/Lowell - The Government of Dependencies.pdf	39JLW6NX	OK	3p	start=100%	end=99%	off=-0.10	overlap=3/123	words=100%	3s
magazineArticle	mid	magazineArticle/Astin__The Challenge of Open Admissions by Alexander W_UNZ.org.pdf	SCG9JNXP	OK	3p	start=100%	end=99%	off=+0.00	overlap=1/68	words=100%	6s
magazineArticle	mid	magazineArticle/Lemann, Nicholas_1977_Success In America_Washington Monthly.pdf	YWJI3CFY	OK	3p	start=100%	end=99%	off=-0.10	overlap=0/75	words=99%	4s
magazineArticle	mid	magazineArticle/Peters_1989_Tilting at Windmilss_Washington Monthly.pdf	5DJFR6VV	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/47	words=100%	4s
